,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,0.9,1.84,1.93,2.16,1.64,0.48,0.45,0.58,0.39,0.37,0.42,0.25,0.36,0.85,0.27
f_1,1.53,0.43,1.24,1.95,2.03,1.62,0.34,0.42,0.56,0.31,0.33,0.7,0.18,0.35,0.28,0.3
d_1,2.27,1.8,0.41,2.28,1.67,1.49,0.48,0.71,0.31,0.31,0.31,0.4,0.26,0.3,0.31,0.16
c_1,1.44,2.03,2.53,0.4,1.71,1.65,0.55,0.2,0.76,0.69,0.42,0.39,0.25,0.37,0.35,0.25
b_1,1.91,2.31,2.61,0.91,0.39,2.52,0.61,0.38,0.52,0.64,1.14,0.33,0.25,0.45,0.31,0.28
a_1,2.75,2.54,2.36,2.52,1.08,0.33,0.82,0.54,0.6,0.48,0.52,0.4,0.35,0.94,0.61,0.36
h_1,2.93,2.98,2.64,3.1,2.62,2.49,0.32,0.73,0.85,0.55,0.58,0.59,0.76,0.53,0.49,0.47
d_0,1.69,3.47,4.65,3.14,3.3,2.86,0.88,0.38,1.17,0.58,0.59,0.62,0.48,0.53,0.6,0.52
g_1,3.19,3.76,3.58,3.38,3.12,2.78,0.67,0.83,0.28,0.72,0.66,0.62,0.39,0.69,0.55,0.63
c_0,3.38,3.04,1.68,8.56,3.52,3.75,1.09,1.08,0.92,0.36,0.65,0.7,0.54,0.7,0.61,0.47
b_0,3.03,3.59,2.7,4.8,7.0,3.03,0.93,0.78,1.09,0.36,0.33,0.65,0.6,0.54,0.62,0.49
f_0,3.54,5.87,3.86,3.61,2.94,2.79,1.1,0.85,0.62,0.71,0.7,0.33,0.59,0.7,0.57,0.38
h_0,3.64,4.46,3.78,3.85,3.83,3.15,1.84,0.79,1.19,0.85,0.71,0.72,0.98,0.62,0.59,0.57
a_0,2.97,4.46,4.19,4.61,5.03,7.61,1.27,0.86,1.13,0.69,0.46,0.79,0.7,0.32,0.72,0.52
e_0,6.39,5.12,3.79,4.37,4.31,3.77,1.32,0.92,1.03,0.84,0.75,0.4,0.58,0.87,0.34,0.58
g_0,4.58,4.78,4.05,4.88,3.83,3.84,0.83,0.9,1.98,0.73,0.71,0.93,0.49,0.75,0.68,1.02
