,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.59,2.48,1.9,2.86,2.13,1.92,8.41,17.66,10.41,7.65,11.84,11.46,18.13,12.45,15.84,7.91
f_1,3.59,5.75,2.12,2.15,2.02,2.0,7.92,10.16,9.08,6.96,10.32,6.84,14.22,11.53,14.06,6.68
d_1,2.17,2.3,6.6,1.71,1.83,2.28,8.4,6.47,19.7,9.72,11.92,12.45,17.72,12.29,17.56,12.49
c_1,1.98,2.21,2.13,7.09,4.28,1.95,7.83,10.21,5.37,7.25,6.86,10.23,14.61,11.04,15.08,12.82
b_1,2.09,2.36,2.09,1.99,8.06,4.69,7.55,10.57,9.84,7.03,6.46,9.34,15.18,7.33,15.71,11.66
a_1,2.3,2.51,2.16,2.44,2.09,11.01,9.41,9.86,8.77,9.02,9.97,10.28,14.99,5.6,17.87,12.58
h_1,2.32,3.2,2.53,2.43,2.52,2.5,16.39,11.43,9.46,11.47,11.26,11.71,15.06,10.09,22.64,12.39
d_0,2.25,2.42,1.78,4.6,2.7,2.17,8.65,17.64,8.19,7.8,10.81,12.78,15.83,11.66,15.32,13.03
c_0,2.5,2.64,2.62,1.81,1.78,2.67,10.65,11.42,18.24,9.27,22.5,14.21,20.8,16.19,18.35,11.53
g_1,2.29,1.99,3.66,2.48,2.0,2.21,9.03,10.64,13.84,24.4,12.54,21.04,16.46,13.33,10.87,15.76
b_0,2.27,2.97,2.86,2.56,1.69,1.85,9.51,9.45,11.84,10.36,20.83,13.28,19.98,26.0,16.96,13.26
f_0,1.6,1.95,2.95,2.84,3.0,2.94,9.93,11.68,12.97,9.88,12.14,23.14,20.86,12.72,17.27,31.58
h_0,2.33,3.36,2.7,2.51,2.18,2.37,6.89,11.16,11.13,10.67,13.76,10.73,12.98,12.74,22.15,12.7
a_0,2.63,2.48,2.71,2.53,2.81,1.68,10.24,12.53,11.79,8.74,12.37,11.78,20.45,29.38,16.86,12.02
g_0,1.65,2.02,3.94,2.49,2.94,2.39,8.41,9.11,12.67,7.16,12.33,20.27,18.58,12.64,14.33,19.1
e_0,1.73,2.86,2.27,2.6,2.96,3.14,9.36,11.46,11.09,8.97,10.78,13.62,19.59,12.02,14.98,30.41
