,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.97,1.39,1.6,1.31,1.21,0.68,0.73,0.65,0.52,0.49,0.66,0.46,0.64,0.7,0.49
f_1,1.43,0.66,1.33,1.38,1.37,1.21,0.49,0.72,0.51,0.42,0.51,0.57,0.35,0.43,0.47,0.5
d_1,1.66,1.4,0.65,1.46,1.3,1.25,0.58,0.46,1.03,0.65,0.54,0.5,0.41,0.48,0.49,0.27
c_1,1.22,1.56,1.65,0.64,1.67,1.48,0.68,0.7,0.33,0.65,0.47,0.51,0.43,0.45,0.47,0.39
b_1,1.68,1.73,1.66,0.92,0.62,1.97,0.68,0.69,0.57,0.76,0.89,0.54,0.47,0.49,0.45,0.48
a_1,2.21,1.89,1.69,1.92,1.09,0.56,1.01,0.87,0.9,0.81,0.74,0.8,0.58,1.09,0.79,0.49
h_1,2.06,2.52,2.38,2.34,2.24,1.63,0.57,1.04,0.7,0.75,0.78,0.85,0.8,0.63,0.75,0.65
g_1,2.56,2.26,2.3,2.32,2.21,1.96,0.84,0.56,0.94,0.87,0.95,1.01,0.7,0.83,0.8,0.88
d_0,1.41,2.64,3.18,2.79,2.52,1.94,1.22,1.04,0.62,0.73,0.79,0.88,0.75,0.9,0.77,0.79
c_0,2.3,2.78,1.39,4.19,2.21,1.86,1.12,1.03,1.37,0.63,1.05,0.95,0.66,1.1,0.77,0.8
b_0,2.33,2.5,2.19,3.66,2.81,2.04,1.12,0.92,1.09,0.53,0.61,0.77,0.76,0.98,0.82,0.95
f_0,2.77,5.34,2.48,2.42,2.33,1.83,1.18,0.76,0.93,0.84,0.94,0.58,0.71,0.97,0.98,0.48
h_0,2.54,2.88,2.68,2.61,2.58,2.29,1.91,1.15,1.01,1.04,0.95,0.84,1.12,0.95,0.83,0.88
a_0,2.37,3.24,2.96,3.21,3.53,3.08,1.6,1.27,0.92,0.82,0.61,0.93,0.72,0.57,1.18,0.77
e_0,3.92,4.29,2.46,2.64,3.35,2.18,1.43,1.25,1.1,1.04,1.07,0.53,0.87,0.93,0.56,0.86
g_0,3.08,2.94,3.28,3.18,2.94,2.73,1.11,1.28,1.08,1.02,0.94,1.11,0.61,1.12,0.92,1.01
