,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,10.29,1.64,0.62,0.65,0.55,0.66,0.91,0.83,1.01,0.85,0.59,0.95,0.9,0.64,1.02,0.85
e_1,0.76,10.49,1.07,0.56,0.68,0.76,0.81,0.85,2.43,0.83,1.05,0.91,0.92,0.67,0.97,0.94
c_1,0.64,0.57,11.31,0.69,2.06,0.57,0.94,0.92,0.71,0.51,0.94,0.63,0.98,1.0,0.89,0.93
d_1,0.75,0.6,0.47,14.57,0.58,0.64,1.04,0.93,0.62,3.07,1.01,1.31,1.05,1.12,1.01,1.28
b_1,0.68,0.64,0.7,0.63,13.09,1.87,1.06,0.81,0.74,0.73,0.9,0.59,0.87,1.01,0.76,0.96
a_1,0.77,0.79,0.89,0.78,0.51,18.97,0.99,1.11,1.03,0.77,1.17,1.07,0.98,1.1,0.69,0.8
h_1,1.24,0.68,0.7,0.93,0.67,0.62,3.04,1.44,0.92,0.88,1.04,1.07,0.86,0.99,0.96,1.4
g_1,0.65,0.67,0.7,1.84,0.64,0.68,1.03,3.86,0.75,1.21,1.99,1.21,1.03,1.33,1.05,0.84
d_0,0.77,0.67,2.36,0.5,0.93,0.72,1.0,1.13,1.61,0.63,1.17,0.97,1.16,0.91,1.07,0.89
c_0,0.99,0.78,0.65,1.0,0.54,0.69,0.94,1.14,1.02,2.42,0.94,3.35,1.43,1.46,1.49,1.44
f_0,0.61,0.59,0.95,1.07,0.84,0.81,1.15,1.02,0.97,0.97,2.61,1.29,1.23,3.06,1.01,1.2
b_0,0.98,0.78,0.84,1.18,0.43,0.55,0.97,1.3,1.15,1.16,0.99,2.52,1.56,1.1,3.03,1.08
h_0,1.33,0.67,0.79,0.93,0.71,0.61,0.86,1.7,1.02,0.95,1.03,1.25,1.0,1.11,1.25,1.45
e_0,0.91,0.56,0.68,1.06,0.85,0.78,1.14,1.25,0.84,1.2,1.47,1.57,1.5,2.93,1.06,1.09
a_0,0.99,0.6,0.88,1.15,0.68,0.5,1.07,1.43,1.06,1.18,1.16,1.24,1.54,1.17,2.56,1.16
g_0,0.61,0.6,0.75,1.53,0.83,0.66,1.01,0.9,0.98,1.19,1.96,1.38,1.25,1.57,1.32,0.77
