,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,35.69,0.06,0.06,0.07,0.07,0.07,0.31,0.31,0.65,0.38,0.38,0.28,0.57,,0.46,0.52
d_1,0.07,37.48,0.07,0.06,0.08,0.07,0.27,0.34,,0.7,0.33,0.42,0.51,0.38,0.32,0.44
f_1,0.14,0.07,38.91,0.06,0.06,0.05,0.3,0.26,0.4,0.34,,0.4,0.43,0.23,0.39,0.61
c_1,0.06,0.06,0.06,44.48,0.12,0.07,0.26,0.34,0.51,,0.37,0.3,0.68,0.28,0.35,0.53
b_1,0.06,0.08,0.06,0.05,50.96,0.11,0.38,0.29,0.46,0.47,0.39,,0.56,0.27,,0.47
a_1,0.07,0.04,0.08,0.1,0.06,70.82,0.37,0.29,0.24,0.27,0.36,0.38,0.56,0.49,,0.71
h_1,0.21,0.24,0.41,0.22,0.32,0.24,29.08,1.51,1.38,1.46,0.85,0.96,,1.98,1.2,3.92
g_1,0.22,0.45,0.18,0.23,0.3,0.29,0.82,30.25,1.44,1.57,1.99,1.41,1.74,1.81,1.16,
d_0,0.45,,0.28,0.85,0.32,0.4,1.67,1.15,17.22,1.49,2.05,1.52,3.13,2.23,1.71,2.47
c_0,0.5,0.34,0.32,,0.26,0.3,1.27,1.53,1.32,19.4,2.62,2.98,4.12,1.56,1.71,2.38
f_0,0.28,0.47,,0.29,0.41,0.3,1.82,0.6,2.48,1.48,22.44,1.95,3.97,2.74,2.23,3.03
b_0,0.24,0.4,0.5,0.37,,0.36,1.93,1.06,2.13,1.69,1.54,21.23,2.52,1.46,4.74,2.18
h_0,0.27,0.41,0.86,0.41,0.5,0.6,,3.1,2.73,3.61,3.45,4.41,,3.07,2.32,6.35
e_0,,0.27,0.26,0.31,0.36,0.38,1.1,1.92,1.77,2.09,1.34,3.28,3.74,33.12,,4.28
a_0,0.3,0.37,0.4,0.3,0.35,,1.29,1.16,2.28,1.95,2.38,2.38,2.68,2.16,33.02,2.39
g_0,0.33,0.99,0.51,0.6,0.33,0.46,2.25,,2.4,2.29,4.48,2.34,7.13,3.44,2.84,
