,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.88,0.17,0.08,0.08,0.06,0.04,0.08,0.08,0.06,0.05,0.06,0.02,0.06,0.05,0.06,0.05
e_1,0.09,0.87,0.07,0.1,0.06,0.04,0.09,0.15,0.05,0.08,0.06,0.07,0.07,0.05,0.07,0.01
d_1,0.1,0.08,0.88,0.06,0.07,0.06,0.08,0.02,0.05,0.15,0.07,0.06,0.1,0.04,0.06,0.04
c_1,0.09,0.08,0.08,0.87,0.13,0.05,0.07,0.07,0.07,0.01,0.05,0.07,0.1,0.05,0.06,0.05
b_1,0.08,0.08,0.09,0.09,0.87,0.08,0.08,0.07,0.06,0.06,0.01,0.06,0.07,0.03,0.07,0.05
a_1,0.09,0.09,0.1,0.08,0.05,0.87,0.1,0.08,0.07,0.08,0.08,0.06,0.08,0.01,0.05,0.04
h_1,0.23,0.12,0.15,0.15,0.1,0.07,0.54,0.14,0.12,0.13,0.11,0.08,0.06,0.08,0.14,0.08
d_0,0.18,0.2,0.04,0.27,0.09,0.07,0.17,0.38,0.08,0.13,0.1,0.13,0.13,0.08,0.13,0.08
g_1,0.18,0.11,0.25,0.11,0.1,0.08,0.14,0.11,0.52,0.12,0.14,0.19,0.12,0.08,0.04,0.06
c_0,0.18,0.18,0.19,0.06,0.09,0.08,0.16,0.13,0.09,0.39,0.27,0.14,0.12,0.14,0.11,0.08
b_0,0.16,0.18,0.14,0.14,0.04,0.06,0.19,0.18,0.12,0.19,0.37,0.15,0.13,0.21,0.12,0.09
f_0,0.07,0.14,0.19,0.14,0.15,0.07,0.19,0.17,0.1,0.17,0.16,0.35,0.14,0.11,0.11,0.14
h_0,0.23,0.14,0.15,0.15,0.13,0.06,0.04,0.1,0.13,0.12,0.14,0.12,0.04,0.08,0.16,0.06
a_0,0.17,0.16,0.16,0.16,0.12,0.04,0.14,0.17,0.13,0.16,0.14,0.15,0.15,0.35,0.13,0.09
g_0,0.11,0.13,0.23,0.18,0.11,0.1,0.11,0.12,0.05,0.14,0.14,0.16,0.14,0.08,0.05,0.07
e_0,0.19,0.04,0.18,0.13,0.14,0.08,0.2,0.13,0.11,0.13,0.18,0.13,0.13,0.09,0.09,0.37
