,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.79,0.97,1.15,0.97,0.95,1.07,1.05,0.94,1.36,1.06,1.19,1.09,1.11,1.08,1.1
f_1,1.26,1.0,0.94,1.06,0.99,0.91,0.82,0.97,0.87,0.98,0.95,0.87,0.94,0.8,0.68,0.97
d_1,1.02,1.06,1.0,0.85,0.99,1.01,1.03,0.88,1.3,0.96,1.07,1.0,0.94,0.98,1.11,0.87
c_1,0.87,0.96,1.19,1.0,1.44,0.94,0.98,0.91,0.71,0.69,0.95,0.91,0.96,0.92,0.99,1.03
b_1,1.03,1.01,1.0,0.7,1.0,1.49,1.17,1.11,0.99,1.0,0.83,0.99,0.85,1.08,1.07,0.98
a_1,1.04,1.08,0.99,1.06,0.68,1.0,1.12,1.15,1.25,1.15,1.15,1.08,1.2,1.3,0.93,1.26
h_1,0.92,1.26,0.97,1.03,0.83,0.92,1.0,1.26,0.98,0.96,0.9,0.93,0.98,0.95,0.96,1.03
g_1,0.96,0.97,1.15,1.1,0.87,0.88,0.81,1.0,0.97,1.02,0.92,1.25,0.89,0.92,1.16,0.97
c_0,1.01,1.18,0.78,1.38,0.95,0.79,1.02,1.03,1.0,1.21,1.45,1.09,1.0,1.11,1.13,1.02
d_0,0.74,0.95,1.02,1.55,1.03,0.87,1.06,1.01,0.87,1.0,1.02,1.02,1.04,1.07,1.13,1.19
b_0,0.91,1.06,1.01,1.11,1.1,0.76,1.15,1.07,0.7,0.94,1.0,0.87,1.55,1.14,1.05,1.04
f_0,0.83,1.15,1.03,1.02,0.99,0.95,1.02,0.83,0.94,1.02,1.18,1.0,1.05,1.15,1.84,0.91
a_0,0.95,1.09,1.0,1.02,1.25,0.93,1.02,1.1,0.99,0.93,0.66,0.99,1.0,1.04,1.1,0.78
h_0,0.89,1.25,1.04,1.06,0.94,0.76,1.07,1.09,0.92,0.94,0.85,0.84,0.92,1.0,0.97,1.06
e_0,0.89,1.49,0.89,0.99,1.06,1.15,1.09,0.86,0.94,0.97,0.96,0.58,0.92,1.01,1.0,1.12
g_0,0.95,1.01,1.18,0.95,1.03,0.78,0.95,1.02,0.99,0.84,0.96,1.15,1.2,0.93,0.86,1.0
