,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.89,0.36,0.17,0.19,0.13,0.08,0.16,0.13,0.13,0.14,0.15,0.05,0.14,0.1,0.08,0.1
e_1,0.21,0.89,0.17,0.18,0.15,0.09,0.21,0.13,0.31,0.17,0.16,0.16,0.19,0.11,0.05,0.13
d_1,0.19,0.18,0.89,0.14,0.14,0.1,0.16,0.16,0.07,0.31,0.18,0.15,0.18,0.12,0.12,0.15
c_1,0.23,0.2,0.15,0.88,0.28,0.07,0.13,0.13,0.14,0.04,0.09,0.13,0.15,0.1,0.09,0.1
b_1,0.19,0.16,0.18,0.17,0.88,0.23,0.22,0.12,0.18,0.15,0.06,0.13,0.12,0.08,0.09,0.12
a_1,0.24,0.18,0.17,0.21,0.11,0.88,0.19,0.13,0.17,0.15,0.15,0.13,0.14,0.05,0.11,0.11
h_1,0.36,0.2,0.24,0.16,0.16,0.11,0.56,0.27,0.22,0.19,0.19,0.16,0.11,0.11,0.12,0.2
g_1,0.22,0.19,0.37,0.2,0.15,0.11,0.18,0.55,0.15,0.2,0.21,0.24,0.19,0.12,0.12,0.1
d_0,0.26,0.22,0.1,0.45,0.19,0.11,0.2,0.18,0.41,0.15,0.18,0.15,0.21,0.14,0.15,0.18
c_0,0.25,0.19,0.28,0.13,0.13,0.09,0.23,0.23,0.21,0.45,0.44,0.18,0.28,0.17,0.14,0.19
b_0,0.28,0.24,0.27,0.21,0.06,0.08,0.22,0.21,0.21,0.21,0.45,0.17,0.23,0.3,0.14,0.16
f_0,0.15,0.18,0.3,0.25,0.14,0.13,0.21,0.18,0.26,0.2,0.22,0.43,0.23,0.16,0.26,0.2
h_0,0.34,0.23,0.28,0.23,0.15,0.1,0.11,0.23,0.22,0.19,0.2,0.14,0.11,0.16,0.11,0.21
a_0,0.26,0.24,0.27,0.22,0.17,0.06,0.23,0.21,0.21,0.17,0.21,0.2,0.26,0.38,0.17,0.2
e_0,0.3,0.12,0.22,0.24,0.16,0.12,0.2,0.19,0.23,0.26,0.23,0.17,0.27,0.18,0.41,0.2
g_0,0.21,0.21,0.41,0.23,0.16,0.12,0.18,0.12,0.2,0.2,0.19,0.32,0.19,0.16,0.15,0.1
