,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,14.14,1.29,0.56,0.54,0.45,0.47,0.87,0.79,0.83,0.76,0.74,0.38,0.86,0.76,0.51,0.89
e_1,0.6,15.07,0.44,0.76,0.57,0.49,0.89,0.56,0.82,2.28,0.9,0.95,1.05,1.08,0.57,1.11
d_1,0.58,0.5,18.78,0.43,0.5,0.65,0.97,1.06,2.17,0.34,1.15,1.1,0.89,0.92,0.89,1.02
c_1,0.52,0.44,0.59,18.02,1.27,0.6,0.74,0.82,0.36,0.81,0.66,1.01,0.93,0.84,1.09,0.78
b_1,0.55,0.43,0.51,0.65,21.03,1.25,0.75,0.88,0.83,0.78,0.48,0.87,1.0,0.65,0.89,0.77
a_1,0.63,0.43,0.63,0.55,0.57,30.32,1.14,1.13,0.92,0.95,1.14,0.97,0.93,0.59,1.02,1.02
h_1,1.19,0.69,0.69,0.75,0.51,0.64,5.39,1.86,1.13,1.01,1.26,1.01,0.78,1.31,1.49,1.56
g_1,0.54,0.55,1.71,0.59,0.71,0.8,0.86,6.53,1.63,0.56,1.48,2.43,1.19,1.17,1.62,1.03
c_0,0.93,0.72,0.92,0.48,0.5,0.59,1.37,1.22,2.86,1.19,3.37,1.64,1.41,1.56,1.51,1.46
d_0,0.83,0.68,0.38,2.09,0.71,0.52,1.35,1.04,0.6,2.71,1.33,0.92,1.41,1.16,1.2,1.05
b_0,0.91,0.73,0.97,0.77,0.33,0.59,1.39,1.24,1.1,1.05,3.5,1.26,1.25,2.81,1.5,1.36
f_0,0.34,0.54,0.92,0.67,0.82,0.96,1.16,1.3,1.1,1.42,1.8,4.69,1.64,1.64,4.49,1.3
h_0,1.27,0.72,0.88,0.59,0.83,0.71,0.49,1.35,0.98,0.9,1.1,1.04,0.7,1.25,1.25,1.38
a_0,0.97,0.63,0.95,0.87,0.81,0.33,1.25,0.98,1.2,1.23,1.32,1.09,1.6,4.33,1.04,1.35
e_0,0.8,0.37,1.09,0.74,0.73,0.57,1.18,1.79,1.09,1.4,1.51,1.78,1.37,2.13,6.14,1.28
g_0,0.62,0.6,1.67,0.81,0.75,0.61,1.09,0.75,1.12,1.02,1.27,2.05,1.21,1.21,1.61,0.72
