,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.15,53.59,77.91,92.64,133.86,101.81,25.64,17.12,18.22,23.86,15.75,19.46,11.49,17.57,,15.43
f_1,94.92,1.15,124.07,115.0,65.37,92.96,22.26,14.27,19.26,39.29,16.68,,8.04,17.57,18.35,12.68
c_1,94.92,82.34,1.15,83.37,100.39,112.53,24.88,10.54,,31.81,16.68,16.52,11.17,16.77,30.58,13.65
d_1,100.34,80.38,95.71,1.15,112.44,85.52,29.17,,24.96,15.9,16.2,16.03,11.17,15.37,19.32,9.1
b_1,117.07,153.45,53.17,83.37,1.15,178.17,27.29,27.4,24.07,37.11,,24.77,14.36,24.6,,14.79
a_1,219.5,211.0,145.65,145.0,85.18,1.15,42.3,29.78,24.96,47.71,37.8,24.77,16.75,,,20.88
h_1,92.42,105.5,108.06,128.27,87.84,68.97,2.0,19.57,19.82,26.72,21.0,17.03,,,10.19,13.15
d_0,45.03,99.29,93.06,,87.84,85.52,25.64,2.98,16.85,21.55,21.0,17.03,16.75,20.5,19.32,13.65
c_0,73.17,91.24,,51.31,62.47,118.78,24.88,23.62,3.0,23.86,17.18,20.96,13.86,24.6,17.48,16.9
g_1,140.48,105.5,139.58,115.0,122.22,125.76,26.44,29.78,25.92,2.0,29.84,20.96,14.89,24.6,22.94,
b_0,109.75,96.46,167.5,85.51,,101.81,28.2,25.37,14.34,29.04,2.91,23.7,15.46,33.55,24.47,15.43
f_0,184.84,,115.52,107.58,100.39,85.52,28.2,20.76,29.3,20.24,33.35,3.1,25.12,,16.68,7.1
h_0,135.08,93.78,85.9,95.29,108.12,152.71,,19.03,17.74,23.86,17.72,18.17,,13.67,26.21,16.9
a_0,184.84,146.78,124.07,238.21,200.79,,,52.69,24.96,55.67,18.29,,25.12,2.98,30.58,19.72
e_0,,241.14,167.5,208.44,,,32.54,36.05,26.96,47.71,43.62,18.79,19.14,30.75,3.03,29.58
g_0,140.48,140.67,111.67,138.96,175.69,125.76,19.67,17.56,19.26,,29.84,23.7,11.82,26.36,30.58,
