,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,35.78,0.06,0.05,0.06,0.06,0.04,0.32,0.3,0.32,0.69,0.38,0.41,0.78,,0.56,0.35
f_1,0.12,36.3,0.07,0.07,0.06,0.06,0.31,0.25,0.42,0.4,,0.36,0.72,0.27,0.4,0.24
d_1,0.05,0.07,40.03,0.06,0.07,0.07,0.28,0.26,0.74,,0.32,0.44,0.65,0.37,0.69,0.22
c_1,0.05,0.09,0.06,42.91,0.12,0.05,0.32,0.19,,0.45,0.37,0.35,0.8,0.35,0.55,0.34
b_1,0.06,0.07,0.05,0.05,52.76,0.13,0.35,0.2,0.37,0.4,0.41,,0.6,0.42,0.58,0.41
a_1,0.08,0.07,0.07,0.06,0.07,68.87,0.31,0.27,0.42,0.33,0.34,0.26,0.53,,0.51,
h_1,0.23,0.38,0.26,0.23,0.33,0.23,27.64,1.84,1.52,1.2,1.37,1.4,,1.27,1.94,1.65
g_1,0.33,0.15,0.45,0.22,0.2,0.31,0.99,34.93,1.52,1.34,1.8,1.43,1.84,1.51,,1.55
c_0,0.34,0.32,0.39,,0.3,0.42,1.2,1.63,17.54,1.8,2.34,3.88,2.8,1.85,3.19,2.03
d_0,0.32,0.4,,0.7,0.39,0.42,1.62,1.28,1.5,16.43,2.34,1.82,2.98,1.75,3.19,2.25
f_0,0.4,,0.27,0.41,0.37,0.35,1.54,1.14,1.86,2.5,21.3,1.85,2.07,3.66,3.54,2.2
b_0,0.35,0.27,0.29,0.39,,0.33,1.62,1.91,1.76,2.18,1.61,21.94,2.42,2.28,2.83,3.69
h_0,0.54,0.74,0.5,0.6,0.51,0.73,,2.67,3.04,2.85,2.5,2.77,,3.11,6.11,2.57
e_0,,0.37,0.39,0.42,0.26,0.31,1.68,1.72,1.77,2.08,2.99,1.35,3.44,30.39,2.68,
g_0,0.38,0.4,0.99,0.5,0.63,0.43,2.25,,3.64,3.04,3.89,1.7,4.75,4.21,,2.33
a_0,0.3,0.37,0.49,0.36,,,1.15,1.45,1.83,1.94,1.97,2.27,2.58,,3.56,33.69
