,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,5.5,0.08,0.05,0.06,0.09,0.08,0.29,0.29,0.85,0.3,0.39,0.33,0.55,0.4,,0.29
f_1,0.12,5.61,0.09,0.08,0.08,0.06,0.31,0.31,0.32,0.33,,0.38,0.64,0.31,0.38,0.68
d_1,0.07,0.08,6.26,0.06,0.08,0.07,0.31,0.32,,0.78,0.32,0.35,0.68,0.31,0.3,0.53
c_1,0.06,0.08,0.08,6.94,0.14,0.07,0.23,0.22,0.34,,0.44,0.31,0.66,0.5,0.42,0.68
b_1,0.08,0.07,0.05,0.07,7.49,0.12,0.35,0.3,0.4,0.5,0.38,,0.63,0.29,0.34,0.52
a_1,0.07,0.1,0.08,0.1,0.08,11.46,0.27,,0.38,0.47,0.28,0.37,,,,0.72
h_1,0.26,0.34,0.32,0.36,0.28,0.3,13.48,1.65,1.5,1.56,1.13,0.9,,0.85,1.64,2.92
g_1,0.29,0.27,0.44,0.17,0.2,0.28,0.9,16.71,1.1,1.1,2.93,1.73,2.04,1.13,1.76,
d_0,0.39,0.38,,0.72,0.48,0.38,1.58,1.2,11.58,2.02,2.15,1.67,3.29,1.66,1.62,2.36
c_0,0.39,0.33,0.38,,0.39,0.41,1.3,1.67,1.35,12.85,2.1,3.6,2.98,1.72,1.28,3.09
f_0,0.27,,0.33,0.46,0.21,,1.79,1.0,2.21,1.77,14.43,2.72,2.85,2.24,4.33,3.59
b_0,0.41,0.35,0.37,0.37,,0.42,1.25,1.36,2.26,1.73,1.79,14.92,3.01,3.22,2.11,2.4
h_0,0.73,0.8,0.51,0.68,0.49,0.56,,2.43,3.29,2.46,3.05,2.91,,2.31,1.78,4.96
a_0,0.37,0.34,0.52,0.31,0.31,,1.44,1.54,1.66,1.09,1.93,1.93,3.81,19.14,2.76,2.32
e_0,,0.5,0.29,0.23,0.41,0.49,2.13,1.41,1.81,2.07,1.44,1.76,2.97,2.61,20.55,3.25
g_0,0.56,0.52,1.07,0.59,0.47,0.45,2.76,,2.35,2.34,2.51,2.27,4.31,3.63,2.7,
