,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.88,0.07,0.08,0.09,0.08,0.05,0.07,0.06,0.16,0.08,0.07,0.07,0.07,0.04,0.01,0.06
d_1,0.09,0.88,0.09,0.07,0.07,0.04,0.09,0.07,0.02,0.15,0.09,0.07,0.06,0.05,0.05,0.06
f_1,0.14,0.07,0.88,0.09,0.07,0.05,0.06,0.06,0.07,0.08,0.07,0.02,0.07,0.06,0.04,0.06
c_1,0.09,0.08,0.1,0.87,0.13,0.03,0.07,0.07,0.08,0.02,0.05,0.04,0.08,0.06,0.04,0.05
b_1,0.09,0.09,0.09,0.07,0.87,0.1,0.08,0.08,0.08,0.08,0.01,0.05,0.07,0.03,0.04,0.05
a_1,0.08,0.1,0.06,0.08,0.06,0.87,0.07,0.07,0.08,0.09,0.08,0.09,0.08,0.01,0.04,0.07
h_1,0.14,0.12,0.21,0.14,0.09,0.11,0.52,0.15,0.13,0.14,0.14,0.12,0.05,0.08,0.07,0.12
g_1,0.13,0.24,0.13,0.14,0.11,0.06,0.13,0.52,0.1,0.13,0.12,0.18,0.12,0.08,0.08,0.02
d_0,0.14,0.05,0.17,0.28,0.11,0.08,0.12,0.13,0.38,0.12,0.15,0.13,0.15,0.09,0.1,0.09
c_0,0.19,0.18,0.17,0.05,0.1,0.08,0.12,0.13,0.12,0.37,0.28,0.13,0.13,0.1,0.1,0.09
b_0,0.14,0.17,0.19,0.17,0.05,0.09,0.12,0.14,0.13,0.15,0.4,0.14,0.11,0.16,0.08,0.09
f_0,0.15,0.21,0.06,0.13,0.1,0.11,0.16,0.11,0.15,0.14,0.13,0.38,0.17,0.1,0.2,0.11
h_0,0.1,0.21,0.21,0.14,0.13,0.06,0.05,0.14,0.13,0.12,0.11,0.12,0.05,0.08,0.08,0.14
a_0,0.14,0.12,0.14,0.19,0.16,0.03,0.14,0.15,0.14,0.11,0.2,0.17,0.13,0.33,0.1,0.11
e_0,0.04,0.19,0.2,0.16,0.12,0.06,0.16,0.13,0.17,0.15,0.16,0.12,0.18,0.12,0.35,0.12
g_0,0.13,0.23,0.14,0.16,0.1,0.08,0.12,,0.12,0.16,0.15,0.19,0.14,0.1,0.06,0.05
