,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.77,0.99,1.21,1.1,0.92,1.0,1.23,0.92,1.3,1.09,1.2,1.01,1.04,1.08,1.13
f_1,1.3,1.0,0.93,1.04,0.91,0.76,0.88,0.98,0.88,0.95,0.95,0.75,0.82,0.98,0.9,1.06
d_1,1.01,1.08,1.0,0.87,1.01,1.04,1.02,0.84,1.29,1.09,1.02,0.91,1.01,1.01,1.09,0.79
c_1,0.83,0.97,1.17,1.0,1.44,0.93,0.96,0.9,0.82,0.71,0.8,1.02,0.95,1.06,0.95,0.96
b_1,0.9,1.09,0.99,0.7,1.0,1.56,1.17,1.02,1.12,0.98,0.98,1.06,1.25,0.74,1.02,1.02
a_1,1.07,1.31,0.96,1.07,0.64,1.0,1.11,1.03,1.01,1.21,1.08,0.89,1.12,1.38,1.05,1.16
h_1,1.0,1.14,0.97,1.04,0.86,0.89,1.0,1.22,0.96,0.93,0.97,0.98,0.89,1.01,0.83,1.2
g_1,0.84,0.95,1.22,1.1,1.03,0.96,0.8,1.0,1.05,0.89,0.88,1.2,0.95,0.91,0.99,0.9
c_0,1.08,1.09,0.77,1.33,0.82,1.02,1.06,0.95,1.0,1.2,1.39,1.05,0.99,1.05,1.03,1.02
d_0,0.8,1.01,0.92,1.39,1.06,0.8,1.06,1.12,0.85,1.0,1.09,1.12,1.08,0.87,0.92,1.15
b_0,0.92,1.06,1.02,1.24,0.94,0.88,1.07,1.14,0.71,0.9,1.0,0.97,1.02,1.39,1.02,0.91
f_0,0.84,1.27,1.08,1.03,0.97,1.07,1.02,0.89,0.96,0.95,1.04,1.0,1.17,0.92,1.4,0.74
h_0,1.04,1.2,1.04,1.03,0.78,0.87,1.08,1.09,0.96,0.95,1.01,0.84,1.0,0.79,1.02,1.29
a_0,0.97,1.0,1.0,0.95,1.26,0.79,1.01,1.12,0.93,1.12,0.75,1.09,1.27,1.0,0.96,0.93
e_0,0.93,1.14,0.94,0.99,0.96,1.01,1.15,0.95,1.01,1.08,0.99,0.72,0.99,0.98,1.0,1.18
g_0,0.85,0.99,1.23,1.08,1.03,0.82,0.83,1.03,0.96,0.85,1.15,1.38,0.79,1.03,0.91,1.0
