,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.29,0.57,0.39,0.54,0.37,0.31,0.84,0.88,1.92,1.13,1.06,1.02,0.8,1.34,1.13,0.57
f_1,0.83,2.29,0.53,0.49,0.34,0.37,0.99,0.71,0.93,0.79,1.04,0.36,0.84,0.96,1.15,0.48
d_1,0.47,0.57,2.37,0.39,0.45,0.37,0.94,0.87,0.35,1.98,1.2,0.99,0.92,1.31,1.01,0.67
c_1,0.5,0.55,0.45,2.4,0.82,0.24,0.83,0.73,0.95,0.33,0.63,0.96,0.74,1.32,1.02,0.81
b_1,0.5,0.53,0.51,0.45,2.63,0.66,0.78,0.7,0.82,0.74,0.31,0.99,0.69,1.18,0.89,0.72
a_1,0.41,0.46,0.53,0.6,0.4,3.18,1.01,0.87,1.02,1.09,0.99,0.88,0.31,1.46,1.09,1.16
h_1,0.63,0.79,0.56,0.59,0.53,0.29,2.96,1.28,1.24,1.25,1.25,1.13,0.95,1.0,1.65,1.03
g_1,0.54,0.4,0.92,0.66,0.49,0.48,1.01,3.08,1.01,1.2,1.04,2.0,0.92,1.24,0.78,1.0
d_0,0.61,0.62,0.37,1.08,0.5,0.41,0.97,1.07,2.52,0.83,1.14,1.33,0.84,1.51,1.2,1.07
c_0,0.59,0.73,0.72,0.38,0.4,0.48,1.02,1.07,1.13,2.59,2.16,1.38,1.29,1.63,1.35,0.92
b_0,0.55,0.73,0.63,0.64,0.24,0.5,1.1,1.23,1.3,1.14,2.78,1.4,2.13,1.71,1.69,1.01
f_0,0.44,0.37,0.78,0.68,0.49,0.46,1.4,1.34,1.38,1.3,1.35,2.76,1.35,1.77,1.39,2.28
a_0,0.56,0.66,0.82,0.57,0.46,0.18,1.18,1.13,1.22,1.08,1.47,1.36,2.96,1.26,1.68,1.29
h_0,0.52,0.91,0.67,0.58,0.52,0.43,0.56,1.25,1.06,1.16,1.04,0.98,1.21,0.76,1.89,0.91
g_0,0.56,0.52,0.94,0.5,0.59,0.4,0.94,0.83,1.34,1.37,1.07,2.03,1.19,1.73,0.91,1.04
e_0,0.27,0.79,0.66,0.7,0.65,0.46,1.16,1.1,1.36,1.12,1.13,1.37,0.92,1.6,1.28,3.0
