,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.52,0.6,1.13,0.69,0.55,0.5,0.71,0.62,0.81,0.66,0.42,0.69,0.72,0.8,0.66,0.46
d_1,0.83,1.53,0.72,0.58,0.64,0.43,0.77,0.73,0.56,1.27,0.85,0.89,0.93,0.75,0.7,0.65
e_1,0.62,0.6,1.53,0.75,0.7,0.65,0.84,0.75,1.29,0.81,0.86,0.87,0.98,0.85,0.67,0.54
c_1,0.73,0.74,0.62,1.55,1.09,0.41,0.73,0.64,0.66,0.36,0.7,0.59,0.89,0.8,0.63,0.7
b_1,0.8,0.71,0.65,0.62,1.58,0.97,0.91,0.76,0.78,0.84,0.79,0.52,0.81,0.89,0.57,0.75
a_1,0.82,0.93,0.63,0.89,0.53,1.76,0.9,0.83,0.92,0.83,0.97,0.91,0.94,0.83,0.33,0.7
h_1,1.15,0.91,0.81,1.11,0.79,0.63,1.73,1.2,1.01,0.99,0.92,1.06,0.76,1.38,0.78,0.98
g_1,0.87,1.28,0.86,1.0,0.73,0.76,0.84,1.8,0.89,1.12,1.35,1.12,1.01,0.71,0.72,0.97
d_0,0.91,0.8,0.8,1.55,0.9,0.73,1.19,1.16,1.57,0.88,0.9,1.0,1.1,1.04,1.06,0.86
c_0,0.99,0.9,0.9,0.78,0.81,0.88,1.2,1.15,1.31,1.61,1.28,1.81,1.38,1.16,1.14,1.15
f_0,0.73,1.14,0.78,1.02,0.98,0.8,1.2,1.18,1.2,1.13,1.67,1.22,1.23,1.03,1.03,1.64
b_0,1.08,1.09,0.81,1.23,0.6,0.68,1.18,0.91,1.18,0.89,1.11,1.61,1.33,1.17,1.67,1.01
h_0,1.32,1.1,0.94,0.94,0.97,0.72,0.9,1.27,1.08,1.05,1.22,1.14,0.93,1.46,0.95,0.85
g_0,0.88,1.41,0.99,1.03,0.85,0.83,1.13,0.94,1.14,1.22,1.62,1.24,1.0,0.87,1.05,0.98
a_0,0.98,1.17,1.0,1.06,0.98,0.72,1.41,1.06,1.14,0.94,1.25,0.91,1.43,1.39,1.75,0.72
e_0,1.09,1.21,0.63,1.05,0.99,0.82,1.4,1.24,1.19,1.03,1.01,1.33,1.52,1.41,1.33,1.78
