,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,3.62,3.05,3.06,3.46,2.84,0.85,0.93,0.84,1.18,0.84,1.83,0.62,0.78,0.7,0.83
e_1,2.14,1.07,3.72,3.38,3.74,3.27,1.32,1.17,0.91,1.24,0.78,0.98,0.63,1.1,2.15,0.68
d_1,3.29,3.77,1.07,4.01,3.33,3.1,1.12,2.17,1.23,0.88,1.06,0.9,0.7,0.84,0.86,0.5
c_1,3.37,3.25,3.48,1.07,4.49,3.73,1.54,0.65,2.05,1.09,0.94,0.89,0.83,0.82,0.91,0.82
b_1,3.99,3.84,3.77,2.18,1.07,3.5,1.49,1.25,1.49,1.61,2.76,0.92,0.94,0.96,0.93,0.81
a_1,5.81,5.15,4.65,5.61,2.69,1.07,2.91,2.08,1.38,2.07,1.61,1.7,1.26,2.54,1.57,1.35
h_1,12.49,7.11,8.43,7.25,6.67,4.72,1.37,2.0,2.26,3.14,2.52,1.94,2.54,1.79,1.59,1.55
d_0,9.51,5.36,14.68,10.51,7.57,7.05,3.28,1.63,2.45,2.8,2.3,2.98,2.4,2.07,2.22,2.02
c_0,9.81,10.8,4.96,15.39,8.45,6.93,3.41,3.9,1.59,3.88,3.04,2.3,1.81,2.37,1.97,1.85
g_1,13.03,9.31,9.67,10.59,7.56,7.71,2.9,2.92,2.87,1.39,2.99,3.58,2.16,2.19,2.45,3.7
b_0,11.47,10.36,8.5,11.98,13.66,7.88,3.23,3.2,1.81,3.54,1.62,2.28,1.98,2.5,2.47,2.04
f_0,21.23,10.52,10.35,12.33,11.67,8.26,4.04,3.17,3.53,2.27,3.16,1.61,2.52,1.93,3.8,1.43
h_0,13.68,13.47,11.64,13.19,11.06,9.51,7.1,3.27,3.81,4.33,4.32,3.1,4.52,2.63,2.89,2.95
a_0,13.79,12.18,16.26,15.91,16.3,19.55,5.27,4.57,4.14,4.41,2.58,4.46,4.42,1.69,3.02,3.01
e_0,22.64,23.89,11.73,12.74,13.71,10.3,5.05,4.37,3.77,4.74,3.76,1.99,3.79,5.2,1.64,3.37
g_0,17.57,14.71,16.81,15.9,15.51,9.74,4.11,4.77,4.08,6.47,4.27,4.3,2.9,3.08,3.42,3.92
