,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,1.19,0.88,1.1,1.0,1.1,1.29,0.93,1.0,1.05,1.19,1.1,1.01,1.04,1.29
f_1,1.24,1.0,1.02,0.97,0.96,0.81,0.78,1.01,0.86,0.85,0.94,0.82,0.84,1.06,0.8,1.03
c_1,0.83,0.99,1.0,1.26,1.33,0.95,1.03,0.7,0.82,0.78,0.94,0.86,0.9,0.82,1.11,0.96
d_1,1.13,1.03,0.78,1.0,0.94,1.0,1.06,1.04,1.31,1.23,0.94,1.02,1.03,1.02,0.95,0.84
b_1,0.91,1.05,0.76,1.07,1.0,1.54,1.04,1.11,1.01,1.16,0.95,1.15,1.12,1.02,0.96,0.89
a_1,0.99,1.24,1.05,0.99,0.66,1.0,1.08,1.13,1.24,1.28,1.07,0.99,1.22,1.09,1.13,1.13
h_1,0.92,1.28,0.98,0.93,0.98,0.91,1.0,0.85,0.99,0.95,1.04,1.03,0.92,0.91,1.03,1.1
d_0,0.76,0.95,1.42,0.99,0.98,0.94,1.14,1.0,0.84,1.01,1.18,0.97,1.06,0.95,1.13,1.16
c_0,1.15,1.08,1.18,0.76,0.93,0.84,1.0,1.12,1.0,1.26,1.01,1.03,1.03,1.04,1.04,0.91
b_0,1.01,1.16,1.27,0.84,0.83,0.76,1.0,1.01,0.8,1.0,1.01,0.95,1.01,1.46,1.01,1.09
g_1,0.99,1.06,1.03,1.1,1.02,0.97,0.99,0.83,0.93,1.0,1.0,1.12,0.77,0.89,0.88,1.03
f_0,0.82,1.17,1.21,1.03,0.91,0.94,1.03,1.0,0.95,1.02,0.96,1.0,1.07,0.95,1.53,0.82
h_0,0.9,1.21,1.02,0.97,0.9,0.81,1.09,0.91,0.93,1.03,1.36,0.91,1.0,0.97,0.94,1.13
a_0,1.02,0.95,1.21,0.97,1.0,0.89,1.19,1.1,0.87,0.67,1.13,1.05,1.02,1.0,0.98,1.07
e_0,0.92,1.2,0.94,1.1,0.99,0.86,0.94,0.92,0.96,1.01,1.16,0.67,1.11,1.06,1.0,0.95
g_0,0.82,0.93,1.07,1.23,1.02,0.86,0.94,0.83,0.99,0.86,0.95,1.22,0.88,0.92,1.02,1.0
