,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.94,0.27,0.29,0.3,0.24,0.16,0.19,0.33,0.19,0.16,0.15,0.14,0.16,0.12,0.16,0.04
f_1,0.44,0.93,0.27,0.25,0.24,0.2,0.18,0.18,0.21,0.17,0.18,0.08,0.14,0.15,0.16,0.12
d_1,0.28,0.35,0.94,0.29,0.21,0.17,0.23,0.1,0.3,0.13,0.21,0.17,0.15,0.13,0.12,0.1
c_1,0.3,0.32,0.24,0.94,0.44,0.19,0.2,0.18,0.05,0.17,0.13,0.16,0.19,0.09,0.15,0.13
b_1,0.33,0.3,0.36,0.23,0.93,0.32,0.2,0.18,0.21,0.16,0.07,0.14,0.17,0.13,0.14,0.11
a_1,0.36,0.28,0.39,0.34,0.26,0.93,0.25,0.2,0.22,0.2,0.26,0.2,0.17,0.07,0.17,0.13
h_1,0.5,0.69,0.56,0.51,0.46,0.35,0.73,0.39,0.33,0.42,0.35,0.24,0.17,0.23,0.31,0.23
d_0,0.44,0.61,0.31,0.9,0.54,0.43,0.36,0.62,0.31,0.38,0.38,0.3,0.35,0.2,0.21,0.26
c_0,0.55,0.57,0.51,0.52,0.44,0.41,0.44,0.41,0.63,0.4,0.59,0.33,0.28,0.33,0.29,0.24
g_1,0.57,0.57,0.79,0.54,0.44,0.28,0.34,0.37,0.35,0.72,0.33,0.43,0.24,0.21,0.16,0.25
b_0,0.7,0.66,0.57,0.71,0.4,0.29,0.35,0.37,0.34,0.37,0.61,0.32,0.42,0.46,0.27,0.26
f_0,0.61,0.43,0.69,0.6,0.62,0.41,0.53,0.41,0.41,0.29,0.39,0.6,0.38,0.3,0.29,0.44
h_0,0.64,0.93,0.7,0.6,0.51,0.42,0.3,0.38,0.48,0.48,0.3,0.34,0.23,0.29,0.41,0.22
a_0,0.72,0.58,0.66,0.71,0.61,0.26,0.49,0.46,0.45,0.48,0.4,0.36,0.4,0.62,0.37,0.29
g_0,0.6,0.52,1.13,0.65,0.59,0.39,0.4,0.46,0.46,0.27,0.43,0.49,0.32,0.28,0.18,0.26
e_0,0.43,0.72,0.83,0.66,0.62,0.58,0.45,0.31,0.44,0.41,0.44,0.32,0.46,0.34,0.4,0.58
