,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.6,0.43,0.67,0.61,0.57,0.33,0.32,0.34,0.28,0.28,0.32,0.23,0.26,0.32,0.25
d_1,0.7,0.4,0.63,0.6,0.56,0.49,0.29,0.34,0.24,0.29,0.28,0.27,0.21,0.25,0.23,0.17
f_1,0.63,0.55,0.39,0.6,0.56,0.52,0.24,0.27,0.34,0.25,0.26,0.31,0.2,0.26,0.25,0.23
c_1,0.49,0.67,0.62,0.38,0.68,0.55,0.33,0.19,0.32,0.31,0.23,0.27,0.22,0.24,0.28,0.24
b_1,0.56,0.65,0.61,0.4,0.36,0.77,0.35,0.25,0.33,0.34,0.32,0.26,0.25,0.23,0.28,0.24
a_1,0.68,0.71,0.62,0.54,0.35,0.3,0.36,0.31,0.35,0.3,0.37,0.28,0.24,0.36,0.28,0.27
h_1,0.54,0.58,0.67,0.56,0.54,0.5,0.24,0.25,0.33,0.26,0.23,0.23,0.23,0.24,0.23,0.21
d_0,0.41,0.62,0.53,0.68,0.62,0.62,0.37,0.23,0.35,0.23,0.26,0.25,0.24,0.25,0.24,0.23
g_1,0.57,0.59,0.58,0.57,0.53,0.51,0.27,0.25,0.21,0.26,0.25,0.26,0.18,0.22,0.26,0.24
c_0,0.59,0.42,0.61,0.78,0.55,0.51,0.33,0.38,0.31,0.22,0.3,0.26,0.24,0.27,0.24,0.19
b_0,0.56,0.48,0.58,0.74,0.64,0.5,0.3,0.28,0.32,0.18,0.21,0.26,0.24,0.31,0.23,0.19
f_0,0.56,0.54,0.69,0.6,0.56,0.56,0.33,0.32,0.22,0.26,0.24,0.2,0.2,0.27,0.32,0.18
h_0,0.57,0.55,0.55,0.6,0.54,0.49,0.35,0.25,0.34,0.23,0.23,0.27,0.24,0.22,0.21,0.22
a_0,0.53,0.56,0.54,0.62,0.68,0.58,0.29,0.26,0.34,0.22,0.17,0.24,0.24,0.19,0.24,0.2
e_0,0.56,0.54,0.72,0.57,0.55,0.53,0.37,0.26,0.28,0.24,0.28,0.16,0.22,0.24,0.18,0.19
g_0,0.56,0.6,0.56,0.59,0.53,0.52,0.28,0.27,0.32,0.29,0.27,0.27,0.18,0.28,0.24,0.22
