,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.35,1.08,1.38,0.88,0.91,0.79,1.87,3.7,2.09,1.64,2.17,2.23,2.71,1.84,1.41,2.38
f_1,1.7,2.38,1.05,0.96,0.83,0.78,1.71,2.37,1.92,1.33,2.1,1.36,2.47,1.68,1.37,2.1
c_1,0.95,1.07,2.45,0.94,1.66,0.91,1.9,2.22,1.48,1.63,1.39,1.9,2.76,1.7,1.82,2.39
d_1,1.06,1.11,0.8,2.49,0.84,0.88,1.95,1.66,3.61,1.8,2.91,2.1,2.66,2.34,1.99,2.82
b_1,0.92,1.21,1.04,0.96,2.71,1.66,1.91,1.85,1.97,1.67,1.33,1.89,2.58,1.46,2.09,2.15
a_1,1.1,1.31,1.16,0.99,0.91,3.05,2.0,2.2,2.4,1.68,2.19,1.85,2.74,1.16,1.74,2.36
h_1,1.1,1.49,1.04,1.26,0.91,0.87,3.57,2.11,2.19,2.54,2.36,2.21,2.08,1.97,2.25,3.14
d_0,1.08,1.17,1.82,0.83,1.18,0.86,1.93,3.19,1.86,1.79,2.27,2.16,3.04,2.06,2.22,2.3
c_0,1.23,1.2,1.01,1.35,0.78,0.97,1.99,2.52,3.38,1.67,3.91,2.13,2.81,2.28,2.16,2.77
g_1,0.97,0.89,1.09,1.65,1.02,0.9,1.86,2.29,2.45,3.96,2.33,3.42,2.8,2.08,2.46,2.22
b_0,1.27,1.1,1.32,1.21,0.78,0.76,2.16,2.65,2.37,1.93,3.5,2.51,3.04,3.58,1.93,3.06
f_0,0.98,1.01,1.17,1.12,1.22,1.02,2.44,2.58,2.31,1.99,2.26,3.56,3.05,2.26,3.8,2.83
h_0,1.14,1.45,1.14,1.24,1.01,0.82,1.76,2.33,2.34,2.11,2.17,1.93,2.48,2.1,2.03,3.05
a_0,1.12,1.13,1.21,1.24,1.09,0.64,2.1,2.8,2.46,2.3,2.3,2.77,2.99,3.66,2.02,2.71
e_0,0.92,1.22,1.18,1.28,1.05,0.91,2.1,2.32,2.26,2.2,2.47,2.32,2.95,2.33,3.61,2.32
g_0,0.97,0.96,1.07,1.65,1.08,0.91,2.17,1.82,2.34,1.5,2.08,3.12,3.0,2.06,2.44,2.47
