,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.44,1.83,5.63,6.22,4.65,4.85,1.7,0.88,1.4,0.75,1.15,1.13,0.72,2.9,0.78,0.88
f_1,4.42,0.43,3.68,5.14,4.81,3.72,0.95,1.22,1.42,0.86,4.67,0.63,0.47,0.85,0.93,0.78
d_1,5.79,4.89,0.42,4.54,4.33,4.03,1.28,3.89,0.88,0.85,0.83,1.05,0.64,1.06,1.0,0.38
c_1,3.81,7.08,5.2,0.42,4.44,4.58,1.06,0.49,1.16,3.05,0.96,1.0,0.71,0.82,0.84,0.71
b_1,5.28,7.17,4.73,2.28,0.39,6.23,1.41,1.04,1.54,1.35,0.84,4.54,0.78,0.94,0.95,0.69
a_1,5.88,6.51,6.39,5.84,3.16,0.33,1.87,1.43,1.79,1.44,0.95,2.06,0.92,1.28,5.4,0.97
h_1,4.5,5.82,5.06,4.78,5.43,6.17,0.35,1.03,1.65,1.03,1.12,0.96,1.42,0.9,0.76,0.73
d_0,2.62,7.34,14.59,5.37,5.56,5.07,1.53,0.47,2.14,1.13,1.1,0.96,0.65,1.13,1.14,0.89
g_1,6.69,5.89,4.73,6.26,7.2,4.81,1.13,1.04,0.32,1.28,1.06,1.0,0.6,0.86,0.79,1.49
c_0,5.97,4.75,2.79,27.29,6.32,7.63,1.78,1.56,1.86,0.41,1.33,1.06,0.72,1.18,0.93,0.75
f_0,5.51,20.47,5.42,5.85,5.2,5.8,1.85,1.1,1.03,1.14,0.4,1.26,0.7,1.3,1.19,0.58
b_0,4.55,8.02,5.84,9.44,12.55,6.16,1.62,0.97,1.91,0.72,1.03,0.38,0.9,1.41,1.08,0.88
h_0,7.62,6.64,7.19,6.18,6.57,5.29,4.34,1.63,2.12,1.4,1.39,1.51,3.05,0.93,1.52,0.95
e_0,11.19,12.96,7.06,7.72,6.47,5.85,1.99,1.47,1.98,1.78,0.7,1.17,1.13,0.35,1.87,0.95
a_0,8.11,6.09,8.86,9.7,9.32,17.9,1.87,1.24,1.81,1.49,1.02,0.71,1.17,1.07,0.38,0.77
g_0,8.62,9.14,7.31,6.59,6.59,7.49,1.48,1.63,5.15,1.25,1.56,1.36,0.93,1.13,1.43,2.23
