,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.93,0.11,0.08,0.08,0.08,0.09,0.07,0.06,,0.11,0.06,0.05,0.07,0.05,0.05,0.04
f_1,0.09,0.93,0.16,0.11,0.08,0.07,0.06,0.06,0.06,0.07,0.06,,0.06,0.05,0.06,0.03
e_1,0.12,0.09,0.93,0.09,0.08,0.07,0.06,0.06,0.1,0.07,0.07,0.06,0.05,0.04,0.04,
c_1,0.1,0.09,0.11,0.93,0.14,0.06,0.08,0.08,0.07,,0.05,0.07,0.06,0.04,0.06,0.06
b_1,0.13,0.12,0.12,0.09,0.93,,0.07,0.06,0.07,0.06,,0.07,0.06,,0.06,0.05
a_1,0.12,0.14,0.13,0.11,,0.93,0.1,,0.09,0.08,0.06,0.07,0.07,,0.06,
h_1,0.29,0.36,0.29,0.27,0.25,0.14,0.71,0.25,0.19,0.18,0.14,0.14,,0.14,0.2,0.09
g_1,0.45,0.3,0.3,0.29,0.29,,0.16,0.71,0.19,0.21,0.18,0.19,0.17,,,
d_0,,0.37,0.31,0.46,0.31,0.2,0.28,0.17,0.57,0.2,0.23,0.2,0.22,0.13,0.19,0.18
c_0,0.33,0.32,0.27,,0.32,0.24,0.24,0.18,0.28,0.56,0.34,0.2,0.21,0.17,0.16,0.19
b_0,0.42,0.38,0.32,0.39,,0.2,0.28,0.24,0.24,0.2,0.6,0.13,0.24,0.2,0.18,0.11
f_0,0.42,,0.35,0.28,0.34,0.24,0.28,0.22,0.26,0.26,0.27,0.57,0.2,0.17,0.13,0.26
h_0,0.47,0.68,0.51,0.35,0.46,0.31,,0.31,0.31,0.36,0.25,0.26,,0.2,0.27,0.16
a_0,0.35,0.47,0.48,0.46,,,0.27,,0.31,0.25,0.24,0.21,0.27,0.57,0.21,
g_0,0.72,0.48,0.65,0.42,0.43,0.3,0.27,,0.28,0.35,0.26,0.45,0.27,0.17,,
e_0,0.5,0.45,,0.28,0.33,,0.34,,0.24,0.23,0.36,0.2,0.32,,,0.58
