,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,0.84,1.15,0.97,0.72,0.5,0.5,0.59,0.4,0.39,0.45,0.33,0.32,0.34,0.32
f_1,1.28,1.0,0.96,0.94,0.79,0.69,0.41,0.45,0.43,0.38,0.38,0.35,0.29,0.3,0.27,0.29
d_1,1.2,1.06,1.0,0.88,0.96,0.7,0.45,0.37,0.47,0.57,0.47,0.37,0.35,0.34,0.32,0.24
c_1,0.87,1.06,1.12,1.0,1.32,0.8,0.57,0.48,0.35,0.4,0.37,0.42,0.38,0.38,0.38,0.32
b_1,1.04,1.24,1.07,0.77,1.0,1.24,0.54,0.49,0.48,0.53,0.45,0.47,0.38,0.33,0.42,0.32
a_1,1.38,1.48,1.38,1.27,0.8,1.0,0.73,0.72,0.61,0.62,0.66,0.58,0.51,0.55,0.46,0.48
h_1,2.03,2.39,2.24,1.75,1.75,1.27,1.0,1.09,0.88,0.83,0.79,0.78,0.68,0.59,0.63,0.73
g_1,2.08,2.21,2.71,2.03,1.95,1.37,0.9,1.0,0.91,0.94,0.84,1.08,0.63,0.73,0.74,0.66
d_0,1.72,2.24,1.9,2.93,2.13,1.62,1.17,1.1,1.0,0.82,0.88,0.92,0.79,0.82,0.78,0.7
c_0,2.42,2.64,1.71,2.52,1.81,1.67,1.19,1.08,1.23,1.0,1.28,0.95,0.82,0.9,0.72,0.69
b_0,2.6,2.52,2.12,2.67,2.3,1.45,1.27,1.21,1.13,0.83,1.0,1.01,1.05,1.03,0.77,0.73
f_0,2.29,2.82,2.65,2.36,2.15,1.75,1.26,0.92,1.1,1.05,0.94,1.0,0.88,0.8,1.07,0.63
h_0,3.01,3.51,2.87,2.73,2.6,1.87,1.45,1.53,1.23,1.22,1.02,1.19,1.0,0.97,0.87,0.96
a_0,3.02,3.18,2.94,2.7,3.08,1.88,1.73,1.39,1.23,1.14,0.95,1.19,1.05,1.0,0.95,0.89
e_0,2.76,3.85,3.33,2.73,2.36,2.18,1.58,1.24,1.3,1.33,1.36,0.92,1.15,1.07,1.0,0.87
g_0,3.25,3.27,3.97,3.16,3.08,2.11,1.34,1.51,1.43,1.43,1.38,1.63,1.04,1.09,1.11,1.0
