,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,103.77,53.32,45.96,46.04,66.04,194.68,4388.75,9196.65,12480.77,14799.5,19688.22,13340.88,54991.6,53648.34,56119.98,93362.93
e_1,30.72,111.5,49.14,38.13,73.59,176.25,4960.58,11469.1,20872.52,15140.93,19721.37,26834.71,45954.35,50478.78,30010.43,103334.19
c_1,29.1,26.18,132.17,49.01,92.0,226.11,4500.98,9953.52,10778.25,4469.62,17349.81,23346.88,49994.7,42891.74,74635.83,88736.3
d_1,33.68,31.23,35.61,135.35,69.43,193.28,4334.55,8889.24,5584.28,20102.38,21437.58,22347.51,56491.77,45896.93,67067.41,60992.75
b_1,26.41,25.12,31.25,34.19,193.68,287.67,3898.14,8526.1,11492.77,13429.19,5066.52,21077.78,39969.47,40803.67,58983.35,83446.38
a_1,18.02,25.32,19.19,29.45,27.95,512.8,2919.04,5644.47,6594.03,7396.35,10503.9,12985.21,27574.81,,38695.55,41331.22
h_1,12.12,11.03,13.92,15.75,21.4,60.57,2986.41,3734.6,3855.27,4263.35,5732.48,7171.26,10597.0,16770.0,21530.45,41110.53
g_1,7.63,5.63,10.85,15.15,15.99,53.31,1078.71,5651.18,2999.78,3391.06,4874.77,10180.0,10621.99,16537.94,23211.94,16751.91
d_0,8.16,7.57,17.43,6.18,13.75,54.8,1051.89,2495.48,5064.05,2997.96,4327.64,6659.65,12367.72,11185.99,17635.69,25456.08
c_0,7.92,8.53,7.86,10.03,13.26,61.7,1231.83,2393.12,3367.98,5541.65,6990.66,5387.01,14369.81,14859.44,18348.67,22721.57
b_0,7.66,7.8,9.7,9.2,10.32,44.2,1007.07,2346.48,2770.5,2849.53,7114.29,5891.06,13801.91,18569.76,18443.55,24901.35
f_0,4.13,5.64,10.39,8.71,13.92,46.56,1005.01,1858.9,2781.36,3208.08,2976.31,9049.49,11129.38,8856.17,25337.54,20913.46
h_0,7.17,5.99,7.59,6.55,10.3,29.76,351.16,2188.92,1979.95,1728.07,2612.58,3749.94,5072.08,8204.75,9347.87,18115.89
a_0,5.19,6.1,7.38,6.86,11.49,,762.9,1115.25,1625.98,1936.05,2597.17,3271.98,7629.74,16275.83,7383.2,13233.85
e_0,5.26,2.98,5.72,5.98,10.97,33.79,724.11,1400.37,2050.28,1871.66,2342.54,3472.29,10582.17,8338.24,20818.8,13388.52
g_0,4.36,4.41,6.3,8.4,8.0,30.77,509.95,873.1,1512.38,1517.37,1758.48,3542.54,6392.75,7058.67,9234.2,8462.12
