,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.49,0.72,0.83,0.6,0.55,0.55,0.89,1.66,0.82,0.91,1.05,1.11,0.96,1.07,0.52,0.87
f_1,1.15,2.57,0.63,0.66,0.55,0.47,0.79,0.94,0.84,0.91,0.95,0.49,0.9,0.89,0.66,0.97
c_1,0.59,0.69,2.72,0.62,1.25,0.53,0.83,0.86,0.75,0.27,0.58,0.84,0.92,0.89,0.93,0.94
d_1,0.63,0.68,0.43,2.88,0.66,0.63,0.88,0.47,1.17,1.83,1.2,1.04,0.97,1.13,1.0,0.95
b_1,0.54,0.6,0.65,0.61,3.19,1.44,0.94,0.81,0.88,0.84,0.42,0.88,1.07,0.75,1.01,0.92
a_1,0.61,0.74,0.78,0.68,0.53,4.46,1.01,0.86,0.7,0.84,1.1,0.99,0.92,0.37,1.07,0.97
h_1,0.6,1.12,0.88,0.85,0.75,0.7,2.85,0.92,1.33,0.88,1.13,0.9,0.95,1.01,1.36,1.56
d_0,0.77,0.76,1.59,0.33,0.84,0.76,1.29,2.1,1.0,0.71,1.0,1.1,1.16,0.9,1.15,0.94
g_1,0.75,0.64,0.69,1.42,0.68,0.59,1.13,0.88,3.38,1.16,1.22,1.89,1.02,0.97,1.26,0.73
c_0,1.05,0.87,0.55,0.87,0.52,0.76,1.17,1.13,1.21,2.2,2.07,1.07,1.19,1.29,1.08,1.12
b_0,0.87,0.74,0.96,0.93,0.44,0.57,1.16,1.09,1.07,1.13,2.36,1.23,1.14,2.31,1.47,1.34
f_0,0.67,0.6,0.85,0.82,0.78,0.85,1.37,1.13,1.34,1.31,1.34,2.68,1.31,1.16,2.73,1.36
h_0,0.67,1.24,0.77,0.95,0.61,0.64,0.84,0.94,1.45,1.17,1.17,1.26,0.85,1.23,1.34,1.71
a_0,0.89,0.79,0.8,1.02,0.76,0.3,1.13,1.13,1.12,1.25,1.11,1.19,1.19,2.92,1.39,1.3
e_0,0.49,0.99,1.0,0.81,0.76,0.8,1.44,1.07,1.31,1.23,1.18,1.21,1.44,1.23,3.14,1.42
g_0,0.6,0.81,0.8,1.35,0.69,0.75,1.04,0.85,0.76,1.21,1.28,1.83,1.5,1.29,1.42,0.95
