,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,1.07,0.97,1.03,0.92,1.15,0.96,1.04,1.56,1.05,1.05,1.05,0.95,1.0,1.15
f_1,1.32,1.0,1.02,0.95,0.89,1.12,0.79,1.01,0.84,0.86,0.98,0.78,0.8,0.91,0.81,0.93
d_1,0.94,0.98,1.0,1.05,0.92,1.09,1.06,1.46,0.9,0.98,0.89,0.98,1.03,0.91,1.13,0.74
c_1,1.03,1.06,0.95,1.0,1.34,0.86,0.97,0.88,1.14,0.67,0.97,1.03,0.97,0.92,1.0,1.07
b_1,0.97,1.12,1.08,0.74,1.0,1.49,1.18,0.94,0.77,1.02,0.61,1.0,1.02,0.9,1.0,1.04
a_1,1.09,0.89,0.92,1.16,0.67,1.0,1.16,1.01,0.99,0.89,1.28,1.09,1.24,,1.07,1.24
h_1,0.86,1.28,0.94,1.06,0.87,0.83,1.0,0.83,1.26,1.06,1.06,1.05,1.02,0.94,0.96,1.26
c_0,1.02,1.11,0.72,1.04,0.99,1.01,1.19,1.0,1.21,0.99,1.4,1.05,1.25,1.24,1.1,1.1
g_1,0.89,1.15,1.11,0.88,1.36,0.98,0.78,0.87,1.0,0.88,0.94,1.06,0.79,0.97,0.83,0.8
d_0,0.65,1.19,0.97,1.51,1.0,1.03,0.91,0.99,1.12,1.0,1.1,0.87,1.17,0.91,0.99,1.12
b_0,0.91,1.02,1.11,1.05,1.87,0.67,0.99,0.75,1.02,0.94,1.0,1.06,0.86,1.58,1.02,0.96
f_0,0.89,1.28,1.03,1.04,0.97,0.96,0.98,0.98,0.93,1.06,0.88,1.0,1.03,1.21,1.37,0.91
h_0,0.92,1.21,0.99,1.03,1.0,0.77,0.96,0.8,1.28,0.85,1.12,0.95,1.0,0.84,0.82,1.05
a_0,1.01,1.1,1.13,1.22,1.09,,1.03,0.86,0.99,1.13,0.66,0.87,1.25,1.0,0.96,0.95
e_0,0.87,1.3,0.91,1.02,0.96,0.92,1.05,0.96,1.22,1.02,0.99,0.73,1.23,0.99,1.0,0.94
g_0,0.84,1.06,1.34,0.94,0.95,0.75,0.79,0.88,1.28,0.88,1.02,1.13,0.93,1.01,1.0,1.0
