,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.27,0.57,0.37,0.59,0.44,0.31,0.86,1.88,0.74,0.89,1.02,0.91,1.38,1.14,0.4,1.01
f_1,0.94,2.3,0.47,0.4,0.37,0.33,0.82,0.92,0.67,1.12,0.88,0.45,1.04,0.67,0.65,1.01
d_1,0.48,0.71,2.43,0.33,0.31,0.35,0.97,0.48,0.72,1.81,1.22,0.87,1.16,0.8,0.97,1.14
c_1,0.46,0.44,0.35,2.47,0.97,0.31,0.77,1.02,0.63,0.3,0.83,0.87,1.19,0.7,0.78,0.99
b_1,0.41,0.4,0.51,0.5,2.55,0.78,0.79,0.87,0.85,0.85,0.34,1.15,1.18,0.7,0.8,1.05
a_1,0.5,0.51,0.58,0.53,0.32,2.99,0.95,0.94,0.96,0.83,1.0,1.04,1.52,0.33,0.94,1.19
h_1,0.6,0.87,0.65,0.53,0.5,0.37,3.02,1.21,1.18,1.05,1.19,0.94,0.75,0.85,0.89,2.02
d_0,0.5,0.54,0.32,1.18,0.65,0.43,0.93,2.56,0.85,0.78,1.17,1.14,1.76,1.11,1.0,1.56
g_1,0.48,0.53,0.96,0.4,0.53,0.5,1.03,0.89,3.42,1.22,0.97,1.82,1.37,1.0,1.12,0.76
c_0,0.57,0.76,0.77,0.33,0.34,0.45,1.29,1.44,0.96,2.62,2.23,1.3,1.49,1.33,1.16,1.81
b_0,0.64,0.72,0.7,0.55,0.22,0.41,1.2,1.39,0.94,1.25,2.82,1.07,1.75,2.04,1.28,1.65
f_0,0.52,0.32,0.61,0.55,0.69,0.63,1.16,1.52,1.11,1.15,1.18,2.89,1.63,1.07,2.42,1.36
h_0,0.68,0.88,0.6,0.61,0.62,0.47,0.54,1.26,1.2,1.1,0.97,0.85,0.87,0.87,1.07,1.82
a_0,0.63,0.69,0.63,0.57,0.5,0.24,1.29,1.49,0.8,1.13,1.49,1.22,1.94,2.96,1.11,1.44
e_0,0.23,0.78,0.65,0.62,0.73,0.43,1.06,1.37,1.01,1.33,1.05,1.24,2.01,0.98,2.9,1.84
g_0,0.55,0.51,1.03,0.6,0.53,0.46,0.99,0.99,0.64,1.18,1.26,1.56,1.47,1.27,1.11,0.79
