,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.43,0.06,0.06,0.08,0.08,0.06,0.27,0.65,0.4,0.24,0.36,0.39,0.74,0.41,,0.61
f_1,0.13,5.77,0.06,0.07,0.05,0.06,0.37,0.4,0.46,0.19,0.43,,0.56,0.43,0.34,0.73
d_1,0.09,0.09,6.35,0.05,0.09,0.08,0.34,,0.61,0.31,0.34,0.4,0.54,0.36,0.27,0.51
c_1,0.09,0.06,0.09,6.84,0.15,0.07,0.22,0.38,,0.26,0.33,0.44,0.68,0.38,0.29,0.48
b_1,0.06,0.1,0.06,0.08,7.84,0.15,0.32,0.54,0.35,0.35,,0.3,0.4,,0.43,0.47
a_1,0.09,0.1,0.07,0.07,0.05,10.23,0.45,0.44,0.21,0.2,0.38,,0.55,,0.67,
h_1,0.27,0.5,0.28,0.27,0.31,0.22,14.15,1.13,1.16,1.49,1.56,1.23,,1.23,1.28,3.02
d_0,0.4,0.46,,0.8,0.44,0.35,1.09,11.43,1.75,1.28,1.66,2.32,3.01,1.94,1.25,2.06
c_0,0.37,0.47,0.44,,0.32,0.47,1.45,1.25,12.11,1.54,3.14,1.6,3.37,1.24,1.69,2.84
g_1,0.25,0.23,0.57,0.25,0.2,0.23,0.98,1.49,1.22,18.07,1.23,1.89,2.21,1.37,1.73,
b_0,0.44,0.32,0.39,0.32,,0.46,1.74,2.27,1.88,1.29,13.18,1.97,2.86,,1.64,1.91
f_0,0.34,,0.29,0.51,0.3,,1.23,1.6,2.27,1.45,2.37,14.06,2.46,1.59,4.36,3.37
h_0,0.49,0.69,0.59,0.46,0.53,0.55,,3.51,3.02,2.66,2.48,2.87,,3.03,3.15,5.93
a_0,0.29,0.4,0.26,0.49,,,2.15,1.85,1.91,1.76,,2.27,3.67,21.33,,3.56
e_0,,0.36,0.43,0.27,0.54,0.37,1.04,1.54,2.38,1.93,2.19,1.53,4.14,,22.47,2.34
g_0,0.4,0.36,0.93,0.52,0.78,,2.2,2.26,2.74,,3.25,5.3,3.73,2.81,2.53,
