,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,0.98,1.42,1.44,1.33,1.26,0.69,0.64,0.5,0.61,0.52,0.6,0.52,0.46,0.7,0.49
f_1,1.57,0.66,1.25,1.48,1.33,1.17,0.48,0.63,0.48,0.53,0.47,0.71,0.46,0.31,0.33,0.39
d_1,1.49,1.45,0.66,1.28,1.28,1.42,0.63,0.49,0.57,0.84,0.54,0.49,0.43,0.38,0.55,0.32
c_1,1.25,1.45,1.97,0.63,1.94,1.26,0.68,0.61,0.63,0.32,0.52,0.47,0.5,0.43,0.52,0.43
b_1,1.63,1.61,1.56,0.93,0.62,1.87,0.9,0.83,0.6,0.63,0.78,0.56,0.56,0.48,0.6,0.43
a_1,1.95,1.98,1.78,1.92,1.0,0.57,0.91,0.93,0.89,0.82,0.82,0.67,1.18,0.69,0.56,0.68
h_1,2.08,2.39,2.01,2.12,1.81,1.77,0.59,1.1,0.79,0.86,0.67,0.66,0.73,0.74,0.65,0.56
g_1,2.18,2.42,2.34,2.59,2.17,1.87,0.77,0.57,0.8,0.82,0.74,0.91,0.71,0.57,0.93,0.7
c_0,2.58,2.94,1.5,4.78,2.43,1.69,1.05,1.04,0.61,1.21,1.13,0.84,0.78,0.72,0.88,0.61
d_0,1.48,2.48,3.53,2.96,2.56,2.13,1.15,1.07,0.89,0.62,1.06,0.89,0.91,0.73,0.9,0.84
b_0,2.18,2.68,2.36,2.75,4.08,1.98,1.27,1.17,0.58,0.82,0.61,0.69,1.03,0.78,0.84,0.63
f_0,2.12,4.05,2.62,2.69,2.58,2.19,1.11,0.9,0.84,0.92,1.02,0.61,0.9,0.93,1.55,0.53
a_0,2.59,2.98,2.62,2.94,3.79,3.19,1.31,1.42,0.98,1.05,0.53,0.86,0.59,0.72,0.94,0.58
h_0,2.66,3.47,2.73,3.18,2.6,2.03,1.96,1.27,0.98,0.95,0.84,0.8,0.84,1.12,0.89,0.8
e_0,3.46,4.53,2.56,2.96,2.77,3.21,1.41,1.01,0.98,1.23,0.97,0.51,0.96,0.75,0.55,0.93
g_0,3.28,3.23,3.18,2.87,3.15,2.54,1.26,1.72,1.1,1.01,1.05,1.09,1.25,0.79,0.83,1.09
