,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,1.35,1.77,1.77,3.18,19.96,27.58,29.51,43.25,36.39,44.27,67.02,72.63,104.0,131.05
f_1,1.3,1.0,1.06,1.35,1.56,3.09,17.33,25.98,24.24,27.32,36.26,30.66,48.58,64.56,62.92,107.93
d_1,0.74,0.95,1.0,1.11,1.22,2.69,17.19,16.22,29.81,27.38,29.14,32.31,50.06,63.85,71.95,79.0
c_1,0.56,0.74,0.91,1.0,1.63,2.15,14.37,19.79,15.89,16.51,23.98,26.49,44.5,43.02,67.6,75.03
b_1,0.56,0.64,0.82,0.61,1.0,3.07,13.28,15.53,21.89,21.03,21.04,25.24,46.99,39.98,61.8,62.64
a_1,0.32,0.32,0.37,0.46,0.33,1.0,7.77,7.45,9.65,10.02,15.11,14.06,24.27,27.37,33.06,33.64
h_1,0.05,0.06,0.06,0.07,0.07,0.13,1.0,1.45,1.51,1.35,1.67,2.18,3.01,3.16,3.81,7.1
g_1,0.04,0.04,0.06,0.05,0.07,0.13,0.72,1.0,1.2,1.23,1.53,2.36,2.12,2.68,3.83,3.45
c_0,0.03,0.04,0.03,0.06,0.05,0.1,0.67,0.79,1.0,1.26,1.64,1.45,2.34,2.56,3.73,3.8
d_0,0.02,0.04,0.04,0.06,0.05,0.1,0.73,0.78,0.78,1.0,1.14,1.26,2.1,1.9,2.95,3.29
b_0,0.03,0.03,0.03,0.04,0.05,0.06,0.6,0.65,0.61,0.87,1.0,1.11,1.54,2.62,2.33,2.79
f_0,0.02,0.03,0.03,0.04,0.04,0.07,0.47,0.43,0.69,0.74,0.9,1.0,1.76,1.8,3.81,2.29
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.32,0.47,0.4,0.47,0.65,0.55,1.0,1.23,1.51,1.84
a_0,0.01,0.02,0.02,0.02,0.02,0.04,0.32,0.38,0.41,0.55,0.37,0.58,0.82,1.0,1.63,1.67
e_0,0.01,0.02,0.01,0.01,0.02,0.03,0.26,0.26,0.3,0.33,0.42,0.3,0.72,0.64,1.0,1.19
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.27,0.25,0.29,0.38,0.44,0.52,0.62,0.85,1.0
