,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,16.3,0.48,0.64,0.45,0.53,0.49,1.0,0.91,2.17,0.4,1.34,1.02,0.91,1.2,1.12,1.13
e_1,0.4,16.1,0.6,0.72,0.61,0.61,0.82,0.8,0.82,2.12,0.92,1.06,1.05,1.14,0.37,0.91
f_1,0.49,1.28,16.93,0.57,0.52,0.42,0.64,0.7,0.79,0.79,0.98,0.39,0.98,0.72,0.63,0.58
c_1,0.59,0.49,0.51,19.84,1.21,0.57,0.88,0.75,0.3,0.81,0.58,0.9,0.84,0.66,0.65,0.94
b_1,0.62,0.44,0.55,0.53,20.96,1.34,1.03,0.84,0.74,0.7,0.41,0.85,0.67,0.55,1.2,0.97
a_1,0.66,0.57,0.64,0.54,0.41,29.46,0.92,1.03,0.8,1.1,0.86,1.11,1.31,0.52,1.22,1.04
h_1,0.73,0.58,1.11,0.81,0.75,0.73,4.86,1.57,1.04,1.12,1.22,1.09,0.65,0.84,1.36,1.77
g_1,1.55,0.53,0.35,0.82,0.7,0.7,0.93,6.37,1.12,0.81,1.08,2.11,1.11,1.36,1.56,0.77
c_0,0.93,0.77,0.7,0.39,0.61,0.73,1.0,1.23,2.9,1.23,3.24,1.27,1.39,1.56,1.34,1.25
d_0,0.31,0.73,0.78,2.24,0.64,0.65,1.18,1.25,0.75,2.96,0.92,1.16,1.2,1.09,1.35,1.34
b_0,0.97,0.77,0.8,0.63,0.36,0.52,1.34,1.19,1.37,1.13,3.53,1.1,1.57,3.8,1.16,1.47
f_0,0.88,0.45,0.4,0.73,0.7,1.04,1.4,1.54,1.35,1.17,1.26,3.59,1.7,1.25,4.28,1.25
h_0,0.94,0.7,1.32,0.81,0.76,0.49,0.6,1.5,1.2,1.03,0.77,0.91,0.67,1.35,0.85,1.62
a_0,0.94,0.76,0.75,0.86,0.59,0.37,1.4,1.32,1.4,1.27,1.29,1.38,1.47,3.97,1.2,1.07
e_0,0.89,0.36,0.88,0.9,0.69,0.76,1.61,1.12,1.22,1.06,1.28,1.26,1.76,1.35,4.66,1.38
g_0,1.63,0.49,0.68,0.65,0.55,0.63,1.06,0.83,1.36,0.95,1.08,2.23,1.15,1.44,1.19,1.09
