,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.81,1.12,0.95,0.91,0.88,0.7,0.69,0.88,0.64,0.62,0.73,0.59,0.59,0.55,0.58
f_1,1.24,1.0,1.0,1.01,0.9,0.8,0.55,0.68,0.67,0.66,0.63,0.55,0.53,0.52,0.45,0.62
c_1,0.87,1.0,1.0,1.02,1.27,0.94,0.76,0.67,0.52,0.56,0.56,0.68,0.59,0.58,0.58,0.58
d_1,1.04,1.02,0.97,1.0,0.99,0.86,0.74,0.59,0.75,0.73,0.84,0.64,0.61,0.58,0.59,0.47
b_1,1.08,1.11,0.82,1.01,1.0,1.28,0.76,0.73,0.6,0.68,0.74,0.59,0.5,0.66,0.6,0.62
a_1,1.14,1.19,1.09,1.15,0.79,1.0,0.98,0.89,0.74,0.88,0.71,0.72,0.76,0.75,0.8,0.65
h_1,1.41,1.88,1.31,1.35,1.29,0.99,1.0,1.05,0.88,0.9,0.91,0.8,0.85,0.87,0.86,0.95
g_1,1.46,1.47,1.47,1.68,1.38,1.12,0.97,1.0,0.86,0.97,0.96,1.11,0.87,0.76,0.96,0.83
d_0,1.21,1.46,1.96,1.43,1.62,1.3,1.09,1.12,1.0,1.03,0.82,0.96,0.9,0.95,0.94,0.85
b_0,1.52,1.59,1.73,1.37,1.43,1.18,1.09,1.0,1.01,1.0,0.82,0.99,1.28,0.91,0.9,0.85
c_0,1.7,1.63,1.74,1.21,1.35,1.43,1.12,1.0,1.3,1.24,1.0,0.96,1.07,1.0,0.97,0.91
f_0,1.4,1.78,1.55,1.56,1.73,1.32,1.18,0.91,1.01,1.01,1.02,1.0,1.05,1.0,1.26,0.75
a_0,1.62,1.88,1.7,1.6,1.98,1.29,1.15,1.12,1.17,0.79,0.92,0.97,1.0,1.09,0.87,1.01
h_0,1.72,1.88,1.72,1.72,1.53,1.32,1.16,1.31,1.03,1.04,0.98,1.0,0.92,1.0,0.85,1.07
e_0,1.79,2.28,1.67,1.62,1.71,1.22,1.14,0.99,1.09,1.2,1.08,0.79,1.22,1.18,1.0,0.99
g_0,1.76,1.64,1.73,2.05,1.62,1.51,1.07,1.18,1.19,1.17,1.1,1.27,1.03,0.92,1.04,1.0
