,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.89,0.23,0.19,0.27,0.17,0.12,0.19,0.16,0.37,0.2,0.18,0.14,0.17,0.22,0.06,0.12
f_1,0.41,0.9,0.2,0.19,0.15,0.11,0.18,0.12,0.18,0.17,0.18,0.06,0.12,0.16,0.08,0.13
d_1,0.2,0.24,0.9,0.16,0.17,0.11,0.22,0.18,0.12,0.37,0.23,0.17,0.15,0.19,0.13,0.18
c_1,0.22,0.21,0.22,0.89,0.34,0.1,0.19,0.16,0.18,0.08,0.12,0.13,0.14,0.17,0.12,0.13
b_1,0.22,0.25,0.21,0.19,0.89,0.23,0.17,0.18,0.18,0.12,0.08,0.15,0.1,0.22,0.1,0.14
a_1,0.22,0.25,0.2,0.2,0.19,0.88,0.2,0.18,0.17,0.2,0.19,0.15,0.1,0.22,0.15,0.15
h_1,0.25,0.39,0.27,0.25,0.2,0.11,0.57,0.29,0.2,0.2,0.21,0.19,0.17,0.14,0.15,0.25
g_1,0.27,0.21,0.39,0.27,0.2,0.11,0.24,0.58,0.25,0.21,0.19,0.28,0.17,0.26,0.15,0.1
d_0,0.3,0.26,0.17,0.47,0.21,0.13,0.24,0.2,0.45,0.17,0.2,0.18,0.17,0.23,0.17,0.16
c_0,0.3,0.27,0.28,0.18,0.18,0.13,0.24,0.21,0.27,0.48,0.47,0.25,0.24,0.29,0.16,0.2
b_0,0.3,0.29,0.27,0.28,0.13,0.11,0.24,0.2,0.26,0.24,0.49,0.21,0.4,0.27,0.16,0.17
f_0,0.24,0.16,0.28,0.26,0.18,0.21,0.22,0.21,0.31,0.28,0.21,0.45,0.22,0.3,0.37,0.2
a_0,0.29,0.32,0.27,0.23,0.24,0.08,0.27,0.18,0.26,0.24,0.24,0.22,0.39,0.26,0.19,0.2
h_0,0.26,0.4,0.28,0.27,0.2,0.14,0.15,0.21,0.22,0.2,0.21,0.16,0.15,0.15,0.18,0.24
e_0,0.21,0.34,0.28,0.28,0.2,0.15,0.31,0.2,0.22,0.22,0.22,0.21,0.17,0.25,0.39,0.22
g_0,0.21,0.27,0.46,0.25,0.17,0.12,0.22,0.16,0.2,0.25,0.2,0.31,0.15,0.23,0.18,0.12
