,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,2.44,0.27,0.24,0.31,0.48,0.16,0.7,0.62,0.54,,0.73,0.45,0.94,0.55,0.45,0.68
f_1,0.32,2.45,0.38,0.4,0.25,0.23,0.52,0.62,0.54,0.61,,0.65,0.71,0.41,0.54,0.7
d_1,0.28,0.21,2.48,0.23,0.29,0.25,0.57,0.54,,1.03,0.63,0.8,0.78,0.57,0.6,0.67
e_1,0.25,0.26,0.25,2.51,0.28,0.26,0.5,0.47,1.02,0.45,0.66,0.58,1.03,,,0.86
b_1,0.23,0.32,0.22,0.27,2.62,0.44,0.63,0.55,0.78,0.62,0.62,,0.66,0.72,0.72,0.58
a_1,0.41,0.27,0.25,0.28,0.24,3.27,0.4,0.51,0.62,0.61,0.62,0.58,0.84,,,0.74
h_1,0.43,0.77,0.54,0.5,0.38,0.65,3.75,1.37,1.24,1.29,1.21,1.19,,0.72,0.98,2.09
g_1,0.48,0.39,0.76,0.57,0.46,0.57,0.86,4.08,1.18,1.3,1.73,1.18,1.2,1.64,1.09,
d_0,1.05,0.65,,0.58,0.47,0.68,1.09,1.18,3.47,1.39,1.57,1.22,1.4,,1.42,1.77
c_0,,0.66,0.58,0.57,0.55,0.51,1.21,1.12,1.16,3.67,1.38,2.33,1.76,,1.52,1.86
f_0,0.49,,0.71,0.57,0.77,0.79,1.21,0.96,1.12,1.58,3.86,1.85,1.25,1.98,,1.6
b_0,0.53,0.67,0.63,0.62,,0.54,1.15,1.18,1.74,1.23,0.96,3.84,2.41,1.34,,1.78
h_0,0.65,0.93,0.59,0.7,0.96,0.8,,1.83,1.91,1.65,1.71,1.48,,1.66,2.25,2.04
e_0,0.58,0.69,0.54,,0.69,,2.16,0.93,,,1.32,1.74,1.85,4.76,,1.72
a_0,0.85,0.74,0.63,,0.45,,1.59,1.24,1.35,1.29,,,1.53,,4.61,2.14
g_0,0.91,0.61,1.08,0.81,0.78,0.69,1.15,,1.77,1.67,1.96,1.36,2.12,1.49,1.75,
