,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,6.16,2.11,2.41,1.87,2.17,2.04,8.48,6.68,8.63,18.01,12.44,13.14,16.65,12.95,13.56,17.17
e_1,1.73,6.19,2.53,2.84,2.29,2.56,8.79,18.17,8.4,8.63,9.98,11.03,17.54,10.22,6.56,13.96
f_1,2.26,3.78,6.39,2.14,1.65,2.15,7.4,10.46,7.52,9.59,6.64,9.96,14.2,11.26,6.76,12.15
c_1,2.18,2.13,2.09,6.63,4.02,1.84,7.96,10.86,6.81,5.74,10.12,7.69,16.08,10.05,10.67,17.79
b_1,2.2,2.13,1.96,2.39,7.9,4.42,8.66,8.46,7.05,9.28,10.47,7.35,13.42,8.3,11.66,18.24
a_1,2.2,2.18,2.23,2.17,2.42,10.4,8.66,11.06,10.33,11.29,12.43,12.25,16.69,6.9,13.08,14.67
h_1,2.55,2.45,3.52,2.47,2.25,1.93,18.14,11.3,12.08,10.82,10.73,10.95,12.35,13.67,12.37,19.21
d_0,1.79,2.4,2.43,4.37,2.92,2.54,9.18,16.82,7.47,7.09,11.51,9.74,16.14,9.74,12.5,15.41
g_1,3.71,2.1,2.11,2.33,2.31,2.08,7.7,11.44,22.0,10.74,17.54,12.01,18.35,15.44,16.3,12.84
c_0,2.88,2.44,2.92,1.98,1.72,2.22,10.22,11.97,9.73,19.2,11.78,23.55,19.33,15.84,15.66,19.5
f_0,2.87,2.03,2.02,2.69,2.8,2.69,8.91,12.63,9.94,10.8,21.28,11.32,18.55,14.34,26.37,16.86
b_0,2.86,2.55,2.94,2.8,1.27,1.76,8.85,12.51,8.73,10.72,12.69,21.35,19.62,27.47,14.05,16.81
h_0,2.95,2.46,3.47,2.49,2.16,2.33,6.41,11.53,10.63,10.29,11.24,11.46,13.02,12.17,12.13,20.98
a_0,2.87,2.37,3.03,2.48,2.23,1.39,10.4,11.51,9.34,12.58,13.7,10.6,18.19,26.8,16.33,16.73
e_0,3.28,1.27,2.92,2.63,2.67,2.43,10.65,11.41,8.86,11.33,12.03,11.71,20.03,14.45,27.53,18.88
g_0,4.0,2.03,2.2,2.4,2.33,2.54,8.58,9.45,7.09,10.62,19.52,12.78,17.3,12.63,13.35,16.03
