,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,5.8,0.55,0.69,0.47,0.52,0.39,2.55,2.27,5.49,0.54,3.65,3.31,4.33,3.49,3.19,4.83
e_1,0.43,5.91,0.6,0.67,0.58,0.69,2.0,2.04,2.78,5.72,3.06,2.94,4.7,3.71,0.73,4.06
f_1,0.56,1.05,6.01,0.67,0.59,0.49,1.72,1.81,2.67,2.45,3.05,0.76,4.65,2.39,2.26,2.68
c_1,0.64,0.62,0.56,7.01,1.07,0.55,2.44,1.92,0.48,2.85,1.98,3.08,4.06,1.6,1.62,4.87
b_1,0.62,0.53,0.62,0.51,7.91,1.18,2.44,2.07,2.68,2.59,0.86,2.76,2.87,1.89,3.66,4.35
a_1,0.57,0.64,0.65,0.57,0.4,10.83,2.02,2.53,2.45,3.49,2.74,3.81,5.56,1.02,3.51,4.38
h_1,1.01,0.8,1.36,1.0,1.06,1.07,14.48,4.75,4.91,5.49,4.88,5.28,1.92,4.23,6.7,9.49
g_1,1.77,0.89,0.55,1.26,1.01,0.97,2.92,18.06,4.45,3.25,4.82,7.05,7.57,6.57,5.64,3.25
c_0,1.23,1.17,1.13,0.51,0.93,1.04,3.46,4.06,12.7,5.53,10.2,5.41,9.25,6.97,5.78,8.29
d_0,0.27,0.97,1.21,2.18,1.12,0.89,3.88,4.06,4.05,14.01,4.44,5.66,7.67,4.87,5.94,6.86
b_0,1.36,1.22,1.24,0.84,0.26,0.87,3.92,3.57,6.07,4.95,15.75,4.73,8.3,12.7,5.23,9.72
f_0,1.29,0.8,0.35,1.16,1.1,1.39,4.99,5.0,5.72,4.85,5.01,15.58,9.02,5.52,11.94,6.95
h_0,1.31,0.96,1.5,1.12,1.25,0.52,1.15,4.54,4.91,4.64,3.73,3.86,2.36,6.22,3.74,8.9
a_0,1.19,0.96,1.17,1.16,0.94,0.39,4.75,3.7,6.97,5.42,5.29,5.82,8.65,19.93,5.71,7.5
e_0,1.37,0.32,1.13,1.3,0.98,1.11,4.94,3.54,5.53,5.84,5.23,5.03,9.0,5.85,22.53,8.31
g_0,1.92,0.82,0.96,0.97,0.86,1.02,3.77,1.8,5.01,4.34,3.91,8.19,6.82,5.2,4.55,3.02
