,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.07,4.99,8.16,9.05,8.42,7.39,3.21,3.4,3.56,2.84,2.4,2.89,1.83,2.04,2.75,
f_1,13.61,1.07,8.9,10.27,6.95,8.73,2.34,2.87,2.97,2.46,2.72,,1.47,2.38,1.45,2.52
d_1,10.03,9.87,1.07,9.94,8.89,8.9,3.69,2.52,,3.41,2.82,2.56,2.16,3.04,1.47,2.7
c_1,12.13,11.4,10.34,1.07,13.76,7.76,3.83,3.79,1.77,,2.63,2.55,2.47,2.33,1.82,2.24
b_1,10.62,12.98,12.39,6.37,1.07,11.04,4.88,4.72,2.71,3.66,,4.52,2.15,3.0,2.66,2.68
a_1,17.6,12.91,13.49,16.67,8.84,1.07,7.74,4.53,4.34,5.06,5.15,4.87,4.44,,,
h_1,15.76,17.17,12.35,11.73,12.72,10.71,1.41,4.54,4.51,3.71,3.07,4.35,,4.31,2.99,3.0
g_1,17.61,20.81,17.09,14.83,11.99,14.99,4.4,1.41,5.5,4.35,4.44,5.03,3.07,4.03,,4.1
d_0,8.68,14.23,,14.26,17.75,12.15,4.55,6.56,1.74,3.79,4.89,3.24,3.91,3.35,3.7,2.81
c_0,13.05,15.69,9.52,,13.35,12.35,5.85,7.38,4.7,1.72,5.59,3.24,3.56,3.2,3.94,3.72
b_0,16.42,16.01,20.4,19.0,,15.81,6.37,5.25,5.01,3.08,1.75,5.02,3.79,6.2,2.8,3.47
f_0,17.37,,16.61,16.93,11.42,11.69,6.98,4.51,6.19,8.25,4.19,1.67,4.05,3.93,2.65,4.45
h_0,20.24,18.0,15.29,14.03,18.6,12.07,,5.32,4.4,4.38,4.5,4.28,,4.67,3.56,4.07
a_0,25.3,22.16,22.92,21.63,27.22,,8.0,8.61,5.68,9.12,3.58,7.34,5.53,1.71,5.65,
g_0,16.61,22.93,20.94,23.46,23.04,,7.91,,5.5,4.57,7.0,7.66,2.75,4.29,,4.67
e_0,,27.68,30.07,27.42,22.98,,8.42,10.05,7.8,6.73,7.35,4.44,5.79,,4.36,1.79
