,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.13,4.14,4.14,4.77,5.84,4.42,0.96,0.9,1.59,0.89,1.05,1.87,0.53,0.89,0.91,0.95
e_1,2.99,1.12,5.04,5.58,4.83,5.58,1.91,1.12,1.85,1.34,0.89,1.23,0.85,1.15,3.13,0.97
d_1,6.11,6.3,1.12,6.04,4.78,4.76,1.38,3.17,0.96,1.02,0.98,0.82,0.86,0.88,1.0,0.49
c_1,5.06,4.84,9.11,1.13,5.57,5.6,1.78,0.61,1.74,2.68,1.16,1.28,0.89,1.16,1.21,0.96
b_1,7.13,8.47,7.14,3.59,1.14,7.34,2.36,1.66,1.95,1.66,4.54,1.07,1.1,1.44,1.16,0.89
a_1,12.38,9.14,9.25,12.12,4.4,1.15,3.33,2.48,2.74,2.21,2.82,2.2,1.24,5.95,2.54,1.65
h_1,16.14,17.54,15.86,16.78,17.27,16.42,1.74,3.67,6.05,3.18,3.35,4.1,4.71,2.88,3.24,2.31
d_0,20.02,11.56,48.26,21.11,24.0,26.18,6.49,2.33,6.86,5.47,4.14,5.02,3.02,5.19,3.99,3.7
g_1,22.63,24.03,21.52,25.3,24.0,20.39,4.16,6.03,1.87,3.44,3.72,3.76,2.57,4.84,3.67,3.79
c_0,26.01,23.42,11.08,55.93,28.55,20.83,6.74,7.23,7.47,2.28,4.42,4.76,3.36,4.22,4.32,3.23
b_0,28.97,29.84,22.67,34.28,82.18,24.83,8.13,6.49,6.46,3.28,2.55,5.66,3.71,5.34,4.91,3.57
f_0,74.98,33.64,30.71,34.28,38.74,24.21,11.92,7.01,4.7,6.27,5.58,2.61,4.11,5.76,5.11,2.69
h_0,40.68,37.76,30.43,34.28,49.31,29.35,17.06,7.8,11.2,7.18,7.23,5.66,8.04,8.25,6.15,5.69
a_0,61.68,37.37,30.43,38.88,64.57,60.53,11.6,11.38,10.67,6.04,3.83,7.33,5.29,2.73,9.81,5.12
e_0,64.81,58.73,31.87,44.28,54.24,34.59,9.35,7.46,10.34,7.51,6.33,3.47,4.65,8.07,2.57,6.14
g_0,55.42,48.68,46.92,59.04,45.2,38.74,9.89,9.25,19.2,9.1,9.68,7.98,5.44,9.07,6.48,8.77
