,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.75,1.01,0.61,0.57,0.49,0.56,0.93,0.68,0.77,0.76,0.81,0.27,0.99,0.96,0.6,0.91
e_1,0.71,2.85,0.57,0.75,0.46,0.58,0.96,0.96,1.72,0.96,1.03,1.0,0.88,0.91,0.52,0.83
d_1,0.66,0.6,2.97,0.46,0.58,0.53,1.02,0.83,0.43,1.73,1.1,1.16,1.07,0.94,1.21,1.09
c_1,0.5,0.57,0.62,3.28,1.3,0.55,0.7,0.74,0.84,0.31,0.83,0.89,0.8,0.87,0.83,0.99
b_1,0.58,0.52,0.57,0.64,3.65,1.19,0.8,0.78,0.99,0.96,0.44,1.11,1.03,0.67,1.02,0.85
a_1,0.71,0.65,0.66,0.59,0.51,4.8,0.93,1.25,0.71,0.83,0.85,0.72,0.98,0.55,0.92,0.82
h_1,1.06,0.61,0.73,0.79,0.64,0.59,2.89,1.48,1.11,1.08,1.17,1.15,0.62,0.97,1.35,1.56
g_1,0.63,0.73,1.03,0.8,0.63,0.5,1.09,3.72,1.04,1.04,1.37,2.0,0.91,1.24,1.18,0.86
d_0,0.8,0.73,0.43,1.61,0.67,0.65,0.99,1.05,2.27,0.66,0.93,1.05,1.27,0.96,1.25,0.99
c_0,0.81,0.72,0.89,0.54,0.64,0.64,1.24,1.06,1.21,1.98,2.26,1.21,1.47,1.29,1.53,1.44
b_0,0.9,0.7,0.87,0.79,0.57,0.49,1.15,1.31,1.12,1.07,2.65,1.34,1.29,2.51,1.39,1.24
f_0,0.48,0.56,0.85,0.81,0.79,0.89,1.07,1.23,1.23,1.19,1.0,2.83,1.14,1.38,2.53,1.32
h_0,1.07,0.67,0.88,0.77,0.71,0.66,0.64,1.29,1.0,1.11,1.29,1.1,0.79,1.52,1.03,1.82
a_0,0.66,0.73,0.9,0.83,0.83,0.32,1.21,1.33,1.17,1.33,1.3,1.53,1.34,3.55,1.44,1.17
e_0,0.73,0.34,0.84,0.99,0.78,0.83,1.1,1.17,1.11,1.32,1.43,1.29,1.83,1.28,3.3,1.45
g_0,0.61,0.67,1.34,0.75,0.73,0.68,0.98,0.66,0.92,1.14,1.08,1.7,1.2,1.45,1.23,0.67
