,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.91,1.19,1.86,2.37,3.37,21.1,40.81,31.11,39.06,40.83,54.5,105.55,121.51,147.79,128.15
f_1,1.1,1.0,1.13,1.5,1.6,2.62,16.26,24.98,26.15,30.84,34.33,37.3,62.75,81.94,92.67,130.28
d_1,0.84,0.88,1.0,0.99,1.54,2.45,14.27,17.95,28.53,18.65,27.12,30.69,67.14,80.54,75.84,71.71
c_1,0.54,0.66,1.01,1.0,1.8,2.11,12.67,13.56,15.95,19.89,22.37,24.88,53.81,57.25,77.09,76.12
b_1,0.42,0.62,0.65,0.56,1.0,2.59,10.11,14.52,17.3,20.23,21.86,22.9,43.73,54.89,54.12,53.44
a_1,0.29,0.38,0.4,0.48,0.39,1.0,7.0,9.28,7.65,7.93,10.84,11.59,25.82,34.93,35.25,41.62
h_1,0.05,0.06,0.07,0.08,0.1,0.15,1.0,1.39,1.46,1.88,1.92,2.16,4.07,4.94,4.45,6.85
d_0,0.02,0.04,0.05,0.07,0.07,0.11,0.71,1.0,0.94,1.19,1.23,1.52,3.18,3.68,3.98,4.8
c_0,0.03,0.04,0.03,0.06,0.06,0.13,0.7,0.99,1.0,1.07,1.53,1.34,2.71,3.77,3.73,3.84
g_1,0.02,0.03,0.05,0.05,0.05,0.13,0.54,0.81,0.86,1.0,1.11,1.55,2.14,2.65,3.68,3.44
b_0,0.02,0.03,0.03,0.05,0.05,0.09,0.55,0.78,0.64,0.93,1.0,1.16,2.44,4.13,2.92,3.31
f_0,0.02,0.03,0.03,0.04,0.04,0.08,0.47,0.64,0.76,0.64,0.81,1.0,2.24,2.2,3.59,2.23
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.24,0.32,0.36,0.47,0.4,0.45,1.0,1.13,1.31,1.48
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.19,0.26,0.27,0.39,0.25,0.47,0.9,1.0,0.96,1.07
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.22,0.26,0.28,0.27,0.37,0.28,0.77,0.98,1.0,1.02
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.21,0.26,0.3,0.31,0.44,0.64,0.96,1.02,1.0
