,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.5,1.69,1.49,1.18,1.4,1.54,2.99,2.4,4.84,2.6,3.64,3.33,3.97,3.82,3.52,3.54
f_1,1.3,2.48,2.22,1.48,1.31,1.35,2.72,3.42,3.03,2.89,3.09,2.63,3.65,3.06,2.43,3.79
e_1,1.29,1.32,2.55,1.79,1.6,1.41,2.81,5.22,3.14,3.01,3.0,3.36,4.26,3.44,2.93,4.52
c_1,1.64,1.42,1.26,2.6,2.33,1.31,2.77,2.6,2.28,2.68,2.44,3.09,3.94,3.18,3.52,3.86
b_1,1.53,1.53,1.29,1.37,2.77,2.64,3.03,3.33,2.88,2.74,2.93,3.2,3.89,2.69,3.17,3.72
a_1,1.55,1.77,1.51,1.64,1.03,3.2,3.02,2.86,3.01,3.0,3.58,3.41,4.33,2.7,3.35,4.2
h_1,1.55,2.01,1.56,1.53,1.49,1.48,4.2,2.83,3.11,3.58,3.12,3.45,3.49,2.76,3.58,5.23
d_0,1.24,1.41,1.24,2.54,1.75,1.63,3.13,4.18,2.54,3.15,3.42,3.47,4.31,3.41,3.47,4.68
c_0,1.51,1.74,1.55,1.49,1.34,1.42,3.25,3.63,4.27,3.27,5.11,3.68,4.3,4.25,3.64,4.37
g_1,2.14,1.39,1.22,1.62,1.62,1.37,2.63,2.8,3.18,4.64,3.44,4.84,3.88,2.7,3.86,3.76
b_0,1.68,1.78,1.5,1.77,1.19,1.18,3.19,3.08,3.11,3.1,4.63,3.46,4.78,5.88,4.04,4.34
f_0,1.82,1.42,1.37,1.63,1.75,1.33,2.92,2.9,3.62,2.96,3.7,4.78,4.67,3.62,6.68,3.98
h_0,1.69,1.9,1.4,1.62,1.56,1.46,2.71,3.11,3.16,4.06,3.41,3.31,3.58,3.5,3.48,5.31
a_0,1.59,1.67,1.53,1.66,1.65,1.06,3.62,3.41,3.38,3.65,3.3,3.36,4.62,5.21,3.76,4.36
e_0,1.66,1.85,1.38,1.54,1.79,1.31,2.8,3.28,3.49,3.04,3.15,3.22,4.97,3.7,5.3,4.9
g_0,2.22,1.42,1.24,1.63,1.64,1.56,2.71,2.57,3.47,2.68,3.26,4.58,3.76,3.65,4.0,3.81
