,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,1.11,0.89,0.88,0.73,0.48,0.6,0.47,0.4,0.37,0.44,0.33,0.31,0.33,0.31
f_1,1.22,1.0,0.97,0.8,0.85,0.66,0.39,0.46,0.43,0.37,0.37,0.36,0.3,0.32,0.26,0.34
c_1,0.91,1.03,1.0,1.06,1.26,0.85,0.51,0.36,0.51,0.44,0.35,0.39,0.38,0.3,0.32,0.33
d_1,1.12,1.24,0.92,1.0,0.88,0.72,0.52,0.47,0.38,0.57,0.48,0.42,0.39,0.39,0.35,0.26
b_1,1.14,1.17,0.83,1.12,1.0,1.26,0.54,0.42,0.52,0.53,0.44,0.47,0.43,0.34,0.34,0.33
a_1,1.34,1.48,1.14,1.4,0.81,1.0,0.74,0.58,0.67,0.61,0.61,0.48,0.49,0.49,0.42,0.41
h_1,2.07,2.52,1.95,1.96,1.81,1.32,1.0,0.84,0.95,0.85,0.79,0.82,0.76,0.72,0.61,0.68
d_0,1.67,2.2,2.77,2.22,2.45,1.61,1.12,1.0,0.98,0.89,0.88,0.88,0.92,0.69,0.83,0.76
g_1,2.16,2.33,2.04,2.57,1.9,1.47,1.06,0.99,1.0,1.03,0.98,1.01,0.76,0.79,0.77,0.62
c_0,2.55,2.67,2.21,1.77,1.88,1.54,1.19,1.16,0.96,1.0,1.27,0.94,1.0,0.91,0.78,0.71
b_0,2.57,2.7,2.88,2.1,2.23,1.6,1.33,1.14,1.01,0.8,1.0,0.98,0.87,1.12,0.73,0.83
f_0,2.25,2.72,2.57,2.37,2.15,2.2,1.22,1.09,0.96,1.06,1.0,1.0,0.94,0.9,1.06,0.6
h_0,2.98,3.24,2.69,2.48,2.32,2.0,1.32,1.16,1.37,0.98,1.12,1.06,1.0,0.86,0.82,0.86
a_0,3.24,2.99,3.4,2.63,2.85,1.94,1.33,1.53,1.26,1.06,0.93,1.14,1.16,1.0,0.98,0.87
e_0,3.19,3.67,3.06,2.83,2.93,2.31,1.58,1.24,1.27,1.22,1.34,0.96,1.29,1.0,1.0,0.93
g_0,3.24,3.05,3.04,3.8,3.07,2.43,1.51,1.29,1.62,1.37,1.26,1.71,1.14,1.22,1.08,1.0
