,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.44,1.41,1.62,1.85,1.75,1.86,0.36,0.29,0.49,0.33,0.29,0.57,0.16,0.32,0.28,0.3
e_1,0.93,0.43,1.92,2.1,1.93,1.71,0.56,0.39,0.56,0.41,0.37,0.55,0.28,0.38,0.27,0.7
d_1,2.15,2.26,0.42,1.64,1.54,1.51,0.41,0.37,0.33,0.73,0.39,0.33,0.25,0.27,0.17,0.31
c_1,2.03,1.45,2.06,0.41,1.58,1.65,0.59,0.63,0.51,0.2,0.36,0.32,0.25,0.37,0.26,0.3
b_1,2.56,2.21,1.78,0.99,0.38,2.01,0.62,0.59,0.59,0.46,1.14,0.4,0.37,0.39,0.3,0.37
a_1,2.17,2.96,3.01,2.43,1.19,0.31,0.66,0.55,0.81,0.61,0.61,0.5,0.39,1.09,0.46,0.53
h_1,3.16,2.59,2.62,2.64,2.5,2.6,0.33,0.54,0.75,0.62,0.66,0.5,0.67,0.56,0.42,0.59
c_0,3.56,3.41,1.65,5.76,3.6,3.06,1.02,0.36,0.86,1.05,0.72,0.61,0.46,0.69,0.45,0.54
g_1,3.36,3.13,3.21,3.72,3.78,2.53,0.69,0.5,0.29,0.64,0.68,0.55,0.32,0.68,0.57,0.76
d_0,3.4,1.73,6.72,3.45,3.77,3.55,0.9,0.61,1.07,0.37,0.63,0.67,0.57,0.62,0.48,0.61
b_0,3.48,3.2,2.84,5.13,5.75,3.0,0.93,0.36,1.05,0.67,0.33,0.68,0.47,0.79,0.48,0.68
f_0,7.54,3.33,3.28,3.92,3.19,3.02,1.11,0.63,0.63,0.74,0.65,0.33,0.51,0.73,0.29,0.64
h_0,3.76,3.68,3.91,3.54,3.76,3.19,1.78,0.77,1.38,0.84,0.71,0.83,0.84,0.74,0.57,0.71
a_0,4.77,3.48,4.04,4.76,4.78,5.35,1.54,0.76,1.01,0.76,0.4,0.73,0.68,0.33,0.66,0.89
g_0,4.09,4.07,4.54,3.98,4.56,3.71,0.81,0.96,2.1,0.78,0.81,1.0,0.54,0.85,0.88,0.82
e_0,6.53,6.43,3.39,4.64,4.32,4.12,1.4,0.79,1.16,0.8,1.08,0.4,0.82,0.9,0.48,0.31
