,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.93,0.08,0.1,0.09,0.08,0.06,0.06,0.06,0.07,0.11,0.07,0.05,0.06,0.04,,0.07
f_1,0.18,0.93,0.12,0.1,0.07,0.04,0.07,0.06,0.07,0.07,0.08,,0.05,0.04,0.04,0.04
d_1,0.1,0.1,0.93,0.1,0.08,0.06,0.09,0.06,0.1,,0.08,0.07,0.04,0.03,0.04,0.05
c_1,0.13,0.11,0.08,0.93,0.14,0.06,0.07,0.08,,0.07,0.07,0.06,0.06,0.05,0.04,0.05
b_1,0.1,0.17,0.12,0.11,0.93,0.13,0.07,0.05,0.07,0.07,,0.04,0.06,0.05,0.04,0.05
a_1,0.12,0.11,0.11,0.11,0.08,0.93,0.11,0.07,0.07,0.12,,0.08,,,,0.06
h_1,0.29,0.37,0.31,0.28,0.27,0.14,0.71,0.19,0.2,0.11,0.18,0.13,,0.12,0.12,0.19
g_1,0.25,0.28,0.42,0.24,0.28,0.18,0.19,0.71,0.23,0.14,0.13,0.26,0.19,0.12,0.12,
c_0,0.37,0.34,0.33,,0.24,0.27,0.29,0.24,0.57,0.24,0.29,0.17,0.21,0.15,0.14,0.15
d_0,0.28,0.33,,0.59,0.28,0.15,0.32,0.21,0.2,0.57,0.21,0.22,0.17,0.13,0.17,0.19
b_0,0.38,0.32,0.28,0.26,,,0.21,0.21,0.21,0.27,0.59,0.21,0.27,0.29,0.15,0.18
f_0,0.33,,0.35,0.36,0.29,0.17,0.3,0.16,0.3,0.28,0.23,0.58,0.27,0.18,0.26,0.1
h_0,0.49,0.7,0.57,0.39,0.36,,,0.32,0.31,0.33,0.23,0.26,,0.2,0.31,0.28
a_0,0.54,0.4,0.64,0.36,0.42,,0.23,0.22,0.25,0.2,0.17,0.21,0.3,0.55,,0.21
e_0,,0.35,0.41,0.33,0.35,,0.27,0.29,0.28,0.32,0.27,0.21,0.17,,0.58,
g_0,0.35,0.58,0.63,0.44,0.43,0.3,0.34,,0.33,0.32,0.33,0.52,0.27,0.25,,
