,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.01,0.11,0.09,0.12,0.12,0.17,0.16,0.2,0.25,0.25,,0.3,0.22,0.57,0.37,0.51
e_1,0.05,0.01,0.11,0.09,0.12,0.18,0.27,0.25,0.36,0.22,0.24,0.25,0.31,,0.55,0.33
c_1,0.06,0.05,0.01,0.06,0.09,0.08,0.12,0.11,0.22,,0.16,0.13,0.17,,0.28,0.27
d_1,0.05,0.07,0.07,0.01,0.06,0.1,0.16,,0.11,0.14,0.17,0.19,0.15,0.21,0.27,0.14
b_1,0.03,0.04,0.02,0.04,,0.07,0.07,0.08,0.1,0.09,0.09,,0.09,,0.18,0.1
a_1,0.01,0.01,0.01,0.02,0.01,,0.04,0.04,0.04,,0.04,,0.05,0.05,,0.06
h_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
