,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.17,0.42,0.4,0.46,0.5,0.38,0.1,0.16,0.09,0.1,0.09,0.14,0.05,0.1,0.07,0.09
e_1,0.26,0.16,0.48,0.54,0.45,0.45,0.17,0.14,0.1,0.1,0.11,0.13,0.07,0.1,0.08,0.19
d_1,0.47,0.5,0.16,0.45,0.44,0.4,0.11,0.08,0.1,0.14,0.09,0.09,0.06,0.08,0.04,0.08
c_1,0.48,0.35,0.58,0.14,0.45,0.39,0.13,0.13,0.14,0.05,0.09,0.08,0.07,0.09,0.07,0.08
b_1,0.5,0.48,0.48,0.27,0.13,0.44,0.15,0.14,0.12,0.09,0.13,0.09,0.07,0.09,0.07,0.09
a_1,0.6,0.46,0.41,0.49,0.24,0.09,0.13,0.14,0.08,0.1,0.11,0.08,0.07,0.15,0.06,0.1
h_1,0.45,0.38,0.39,0.43,0.36,0.35,0.06,0.12,0.08,0.08,0.08,0.07,0.07,0.08,0.05,0.07
g_1,0.48,0.44,0.35,0.43,0.43,0.37,0.08,0.05,0.08,0.07,0.07,0.08,0.04,0.07,0.06,0.07
c_0,0.49,0.41,0.22,0.73,0.43,0.43,0.11,0.1,0.05,0.12,0.08,0.08,0.06,0.09,0.05,0.08
d_0,0.39,0.23,0.56,0.45,0.42,0.39,0.12,0.14,0.09,0.05,0.09,0.08,0.06,0.1,0.07,0.09
b_0,0.49,0.37,0.3,0.57,0.59,0.33,0.1,0.09,0.05,0.09,0.05,0.07,0.06,0.07,0.05,0.08
f_0,0.57,0.39,0.38,0.38,0.4,0.32,0.12,0.07,0.07,0.09,0.08,0.05,0.05,0.07,0.04,0.07
h_0,0.4,0.38,0.37,0.43,0.33,0.33,0.14,0.11,0.07,0.1,0.08,0.08,0.08,0.07,0.05,0.07
a_0,0.37,0.37,0.4,0.48,0.48,0.49,0.1,0.11,0.07,0.09,0.04,0.08,0.05,0.04,0.05,0.07
g_0,0.46,0.39,0.38,0.42,0.39,0.37,0.08,0.14,0.07,0.08,0.07,0.07,0.04,0.07,0.08,0.08
e_0,0.56,0.54,0.37,0.38,0.39,0.28,0.09,0.1,0.08,0.07,0.08,0.04,0.07,0.08,0.04,0.03
