,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.8,0.89,1.2,0.96,1.06,1.02,1.53,1.13,0.92,1.13,1.11,1.18,1.15,1.1,1.26
f_1,1.25,1.0,0.89,0.98,1.01,0.89,0.91,0.92,1.18,1.0,0.85,0.85,0.95,0.82,0.97,0.69
d_1,1.12,1.12,1.0,0.82,0.92,0.93,0.98,0.99,0.76,1.37,1.05,0.98,0.96,1.01,0.87,1.04
c_1,0.83,1.02,1.2,1.0,1.44,0.9,1.03,0.67,1.03,0.84,0.85,0.87,0.83,0.94,0.81,0.94
b_1,1.02,0.99,1.08,0.71,1.0,1.6,1.01,0.87,1.06,0.95,1.03,1.13,0.9,1.23,1.01,1.11
a_1,0.95,1.13,1.07,1.09,0.63,1.0,1.11,1.02,1.05,1.05,1.25,1.11,1.05,1.05,1.39,1.06
h_1,0.99,1.14,1.02,0.94,1.0,0.88,1.0,0.93,1.12,0.93,0.92,0.93,0.94,0.98,1.06,1.0
d_0,0.66,1.07,1.01,1.51,1.2,0.97,1.08,1.0,1.11,0.75,1.02,0.97,1.0,0.97,1.05,1.02
g_1,0.88,0.82,1.34,0.98,0.93,0.93,0.89,0.86,1.0,1.1,1.03,1.3,1.03,0.76,1.12,1.08
c_0,1.12,0.95,0.72,1.2,0.96,0.95,1.05,1.36,0.93,1.0,1.38,1.08,1.07,1.21,1.23,0.93
b_0,0.89,1.2,0.94,1.17,1.01,0.72,1.07,1.05,0.96,0.71,1.0,0.96,1.49,0.99,0.97,1.03
f_0,0.88,1.18,1.0,1.08,0.97,0.92,1.07,1.0,0.76,0.92,1.03,1.0,1.09,1.1,0.88,1.55
a_0,0.87,1.06,1.01,1.25,1.15,0.95,1.08,1.07,0.94,0.9,0.69,0.88,1.0,1.0,0.91,1.11
h_0,0.88,1.18,0.97,1.05,0.85,0.93,1.04,1.06,1.31,0.83,1.0,0.92,0.99,1.0,1.16,0.9
g_0,0.92,1.04,1.2,1.18,0.98,0.72,0.96,0.94,0.87,0.79,0.99,1.12,1.13,0.87,1.0,0.91
e_0,0.85,1.38,1.02,1.03,1.03,0.9,1.01,0.98,0.91,0.99,0.99,0.7,0.95,1.09,1.03,1.0
