,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,12.64,0.47,0.72,0.98,0.62,0.64,1.01,0.78,0.85,2.39,0.98,1.01,0.97,0.57,0.87,0.83
d_1,0.68,15.4,0.64,0.48,0.57,0.62,1.07,0.97,2.72,0.39,1.14,1.21,1.0,1.12,1.23,1.07
f_1,1.66,0.63,12.9,0.55,0.49,0.51,0.9,0.89,0.89,0.92,0.53,0.93,0.76,0.55,1.11,0.84
c_1,0.45,0.61,0.68,14.31,1.76,0.64,0.83,0.7,0.46,0.81,0.91,0.53,1.06,0.94,0.71,1.06
b_1,0.55,0.58,0.6,0.65,14.83,1.78,0.86,0.94,0.61,0.88,0.86,0.44,1.15,1.04,0.69,0.97
a_1,0.66,0.79,0.67,0.79,0.59,20.5,0.76,1.06,0.68,0.96,0.93,1.1,0.91,1.3,0.64,0.78
h_1,0.64,0.88,1.21,0.77,0.66,0.57,3.3,1.44,1.0,0.92,1.13,1.28,0.76,1.09,0.93,1.57
g_1,0.6,1.79,0.64,0.54,0.61,0.76,1.07,4.68,1.35,0.83,2.14,1.4,0.95,1.3,0.97,0.89
c_0,0.74,1.13,0.88,0.41,0.59,0.67,1.31,1.26,2.65,1.0,1.26,3.53,1.02,1.08,1.65,1.24
d_0,0.61,0.44,0.78,2.63,0.83,0.59,1.01,0.82,0.56,2.72,1.01,0.96,1.15,0.95,1.01,1.05
f_0,0.52,0.84,0.67,0.75,0.89,0.64,1.26,1.49,1.31,1.02,3.12,1.37,1.4,3.66,1.1,1.3
b_0,0.67,1.2,0.9,0.86,0.42,0.4,1.13,1.09,1.08,0.95,1.19,3.01,1.42,1.21,3.64,1.25
h_0,0.58,0.91,1.24,0.95,0.68,0.73,0.64,1.86,0.9,1.04,1.05,1.19,0.78,1.06,1.19,1.89
e_0,0.47,0.95,0.95,0.73,0.7,0.73,1.37,1.19,1.23,0.93,1.24,1.38,1.58,3.82,1.09,1.39
a_0,0.6,0.94,0.96,0.85,0.66,0.42,1.24,1.17,1.15,1.09,1.21,1.45,1.56,1.31,3.66,1.57
g_0,0.51,1.74,0.58,0.97,0.72,0.72,0.94,0.77,1.04,0.8,1.97,1.3,1.13,1.32,0.91,0.72
