,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.82,0.9,1.09,0.93,0.78,0.49,0.61,0.44,0.46,0.39,0.41,0.36,0.33,0.33,0.28
f_1,1.21,1.0,0.95,0.95,0.9,0.67,0.43,0.48,0.42,0.47,0.41,0.35,0.3,0.31,0.35,0.28
d_1,1.11,1.05,1.0,0.97,0.85,0.74,0.47,0.4,0.56,0.37,0.46,0.38,0.33,0.34,0.26,0.29
c_1,0.9,1.05,1.08,1.0,1.22,0.75,0.51,0.36,0.43,0.44,0.39,0.37,0.38,0.33,0.35,0.35
b_1,1.07,1.1,1.18,0.84,1.0,1.14,0.58,0.44,0.5,0.52,0.46,0.41,0.37,0.37,0.35,0.36
a_1,1.26,1.52,1.3,1.29,0.91,1.0,0.84,0.64,0.6,0.67,0.67,0.52,0.5,0.52,0.48,0.44
h_1,2.0,2.29,2.06,1.97,1.72,1.2,1.0,0.91,0.86,1.01,0.79,0.69,0.66,0.65,0.73,0.57
d_0,1.75,2.07,2.37,2.71,2.24,1.5,1.12,1.0,0.82,1.03,0.89,0.82,0.8,0.7,0.77,0.79
c_0,2.28,2.28,1.89,2.23,1.94,1.56,1.18,1.19,1.0,1.06,1.21,0.89,0.74,0.94,0.69,0.71
g_1,2.2,2.19,2.59,2.15,1.97,1.53,0.98,0.96,0.96,1.0,0.87,1.02,0.6,0.7,0.71,0.7
b_0,2.57,2.41,2.12,2.63,2.19,1.55,1.2,1.08,0.81,1.1,1.0,0.92,0.91,1.14,0.75,0.77
f_0,2.56,3.01,2.63,2.65,2.48,1.83,1.51,1.17,1.16,0.99,1.08,1.0,0.86,1.0,0.76,1.14
h_0,2.9,3.38,2.98,2.58,2.74,1.86,1.55,1.31,1.3,1.66,1.12,1.12,1.0,0.91,1.03,0.87
a_0,3.17,3.23,2.86,2.98,2.77,1.94,1.49,1.3,1.09,1.38,0.93,1.0,1.03,1.0,0.96,0.86
g_0,3.11,2.98,3.71,2.83,2.86,2.01,1.34,1.33,1.41,1.41,1.31,1.38,1.0,1.03,1.0,0.93
e_0,3.35,3.61,3.49,2.86,2.87,2.23,1.76,1.16,1.4,1.41,1.37,0.9,1.14,1.09,1.1,1.0
