,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.43,0.73,1.23,1.18,1.18,1.07,0.38,0.33,0.26,0.25,0.24,0.31,0.25,0.19,0.38,0.23
f_1,1.12,0.43,1.1,1.25,1.13,1.07,0.23,0.35,0.22,0.25,0.23,0.27,0.23,0.12,0.17,0.17
d_1,1.28,1.23,0.42,1.09,1.13,1.12,0.3,0.24,0.23,0.39,0.23,0.23,0.2,0.15,0.25,0.11
c_1,0.99,1.29,1.71,0.39,1.28,1.13,0.38,0.34,0.37,0.14,0.27,0.26,0.26,0.17,0.29,0.19
b_1,1.38,1.42,1.26,0.8,0.38,1.36,0.52,0.47,0.33,0.31,0.44,0.29,0.3,0.21,0.3,0.2
a_1,1.73,1.75,1.74,1.53,0.78,0.32,0.5,0.53,0.44,0.45,0.47,0.35,0.52,0.34,0.31,0.29
h_1,2.07,2.22,1.92,2.17,1.85,1.73,0.31,0.59,0.42,0.52,0.35,0.36,0.35,0.38,0.37,0.27
g_1,2.23,2.38,2.01,2.48,2.17,1.99,0.49,0.3,0.45,0.47,0.43,0.49,0.44,0.25,0.5,0.42
c_0,2.58,2.8,1.39,4.58,2.57,2.2,0.67,0.64,0.32,0.82,0.52,0.45,0.43,0.36,0.53,0.33
d_0,1.48,2.49,3.33,2.6,2.74,2.47,0.85,0.71,0.65,0.33,0.57,0.5,0.57,0.37,0.62,0.48
b_0,2.37,2.66,2.25,3.28,4.21,2.32,0.77,0.69,0.3,0.54,0.31,0.4,0.47,0.37,0.47,0.32
f_0,2.52,4.0,2.65,2.58,2.56,2.69,0.74,0.54,0.51,0.58,0.57,0.31,0.48,0.44,0.69,0.25
a_0,2.87,3.03,2.64,3.29,4.17,3.62,0.86,0.88,0.53,0.65,0.3,0.5,0.31,0.35,0.55,0.3
h_0,2.96,3.29,2.96,3.32,2.96,2.49,1.2,0.76,0.59,0.6,0.53,0.54,0.52,0.64,0.52,0.43
e_0,3.83,5.24,2.84,3.4,3.41,2.96,0.98,0.73,0.62,0.76,0.61,0.28,0.54,0.4,0.27,0.38
g_0,3.82,3.83,3.0,3.35,3.44,3.22,0.79,1.18,0.69,0.76,0.64,0.59,0.71,0.38,0.6,0.56
