,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.3,0.51,0.93,0.48,0.41,0.28,0.75,0.65,0.86,0.94,0.93,0.32,1.12,0.7,0.5,1.05
d_1,0.56,2.32,0.44,0.36,0.42,0.38,0.99,0.86,1.96,0.52,1.27,1.15,1.22,0.94,0.94,0.95
e_1,0.58,0.42,2.37,0.56,0.42,0.32,0.85,0.81,0.95,1.92,0.91,1.11,1.42,0.87,0.53,1.09
c_1,0.51,0.47,0.45,2.43,0.87,0.27,0.86,0.7,0.33,0.89,0.72,0.97,1.11,0.75,0.67,1.03
b_1,0.46,0.5,0.43,0.47,2.55,0.79,0.64,0.69,0.72,0.87,0.31,0.82,1.22,0.71,0.89,1.35
a_1,0.52,0.51,0.33,0.51,0.49,3.08,1.02,0.85,1.08,0.79,1.01,1.11,1.62,0.35,0.96,1.16
h_1,0.78,0.56,0.58,0.7,0.3,0.41,3.18,1.16,1.15,1.06,1.4,1.09,0.89,0.95,0.97,2.06
g_1,0.49,1.02,0.43,0.58,0.53,0.42,0.84,3.31,1.22,1.14,1.2,1.76,1.25,0.96,1.04,0.83
c_0,0.73,0.77,0.58,0.42,0.34,0.38,1.01,1.09,2.61,1.28,2.34,1.36,1.75,1.14,1.02,1.49
d_0,0.63,0.3,0.59,1.09,0.48,0.43,1.06,0.91,0.86,2.6,1.45,1.3,1.35,1.09,0.99,1.15
b_0,0.7,0.79,0.61,0.63,0.21,0.33,1.0,1.08,1.35,1.09,2.78,1.2,1.8,2.03,1.02,1.38
f_0,0.37,0.69,0.45,0.79,0.46,0.41,0.97,1.03,1.23,1.54,1.3,2.64,1.68,1.07,2.5,1.44
h_0,0.9,0.77,0.58,0.49,0.49,0.4,0.44,1.43,1.43,1.27,1.04,1.08,0.98,0.91,1.02,1.85
a_0,0.65,0.7,0.62,0.8,0.42,0.23,0.87,0.99,1.39,1.33,1.13,1.11,1.66,3.02,1.25,1.4
e_0,0.73,0.7,0.35,0.54,0.47,0.5,1.19,1.21,1.43,1.31,1.68,1.06,1.73,1.33,3.01,1.37
g_0,0.56,1.02,0.5,0.55,0.49,0.41,0.95,0.75,1.15,0.99,1.28,1.98,1.53,0.86,1.22,0.79
