,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.17,0.28,0.48,0.5,0.48,0.45,0.14,0.13,0.09,0.1,0.11,0.11,0.07,0.17,0.08,0.1
f_1,0.44,0.17,0.41,0.43,0.49,0.4,0.09,0.14,0.1,0.09,0.14,0.1,0.05,0.08,0.08,0.08
d_1,0.55,0.49,0.15,0.51,0.43,0.35,0.13,0.08,0.08,0.16,0.09,0.08,0.06,0.08,0.04,0.07
c_1,0.33,0.47,0.52,0.15,0.47,0.45,0.12,0.14,0.14,0.05,0.08,0.09,0.07,0.08,0.06,0.09
b_1,0.45,0.55,0.52,0.24,0.12,0.43,0.16,0.18,0.13,0.09,0.09,0.15,0.08,0.1,0.07,0.09
a_1,0.53,0.5,0.48,0.43,0.24,0.1,0.13,0.12,0.1,0.1,0.11,0.13,0.06,0.08,0.07,0.17
h_1,0.41,0.41,0.39,0.38,0.35,0.36,0.06,0.11,0.09,0.09,0.09,0.09,0.09,0.07,0.06,0.07
g_1,0.4,0.43,0.4,0.43,0.41,0.34,0.08,0.05,0.08,0.09,0.09,0.08,0.05,0.07,0.08,0.09
c_0,0.43,0.42,0.23,0.75,0.42,0.36,0.12,0.1,0.05,0.13,0.08,0.08,0.06,0.08,0.06,0.11
d_0,0.24,0.41,0.64,0.41,0.43,0.44,0.13,0.11,0.09,0.06,0.08,0.09,0.05,0.11,0.07,0.09
f_0,0.35,0.63,0.38,0.41,0.38,0.38,0.12,0.07,0.07,0.08,0.05,0.08,0.06,0.08,0.03,0.07
b_0,0.37,0.39,0.32,0.59,0.61,0.41,0.11,0.1,0.04,0.1,0.07,0.04,0.05,0.08,0.06,0.08
h_0,0.37,0.41,0.34,0.4,0.4,0.32,0.16,0.14,0.09,0.08,0.08,0.08,0.08,0.08,0.06,0.08
e_0,0.53,0.57,0.34,0.43,0.3,0.39,0.1,0.1,0.07,0.08,0.04,0.07,0.06,0.04,0.04,0.08
g_0,0.34,0.47,0.37,0.42,0.4,0.37,0.1,0.14,0.09,0.08,0.08,0.08,0.04,0.07,0.06,0.07
a_0,0.38,0.38,0.39,0.4,0.48,0.66,0.13,0.11,0.07,0.09,0.09,0.04,0.05,0.1,0.06,0.03
