,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.9,1.03,0.89,0.96,0.96,1.0,0.98,0.95,1.48,1.02,1.08,0.86,0.91,,0.89
f_1,1.12,1.0,0.97,1.16,1.26,1.09,0.78,0.88,1.11,1.14,1.15,,0.96,0.82,0.82,0.94
d_1,0.97,1.03,1.0,0.85,0.96,1.12,1.1,0.88,1.32,,1.0,1.07,0.85,0.91,1.0,0.9
c_1,1.13,0.86,1.17,1.0,1.38,0.82,0.95,0.89,,0.82,1.12,1.08,0.77,0.98,1.1,1.05
b_1,1.04,0.79,1.04,0.72,1.0,1.51,1.15,1.07,0.98,0.91,,1.02,1.09,1.05,0.93,1.1
a_1,1.04,0.92,0.89,1.22,0.66,1.0,1.32,0.85,1.16,1.05,1.16,0.83,,1.31,,1.13
h_1,1.0,1.28,0.91,1.05,0.87,0.76,1.0,1.32,0.97,1.06,1.04,0.88,0.95,,0.86,0.89
g_1,1.02,1.13,1.14,1.12,0.94,1.18,0.76,1.0,0.92,0.9,0.76,1.54,0.85,0.96,1.03,
c_0,1.05,0.9,0.76,,1.02,0.86,1.03,1.09,1.0,0.93,1.5,1.15,0.87,1.04,1.1,0.95
d_0,0.68,0.87,,1.22,1.1,0.95,0.94,1.11,1.07,1.0,1.1,1.07,1.15,1.04,0.97,1.18
b_0,0.98,0.87,1.0,0.89,,0.86,0.96,1.31,0.67,0.91,1.0,0.96,1.73,1.23,1.09,1.12
f_0,0.93,,0.94,0.93,0.98,1.21,1.14,0.65,0.87,0.93,1.04,1.0,0.91,1.44,,0.86
a_0,1.16,1.04,1.17,1.29,0.92,,1.05,1.18,1.15,0.87,0.58,1.1,1.0,0.9,,0.89
h_0,1.1,1.22,1.1,1.02,0.95,0.76,,1.05,0.96,0.96,0.81,0.7,1.11,,0.72,1.39
e_0,,1.22,1.0,0.91,1.08,,1.16,0.97,0.91,1.03,0.92,,,1.38,1.0,1.0
g_0,1.12,1.06,1.11,0.95,0.91,0.89,1.12,,1.06,0.85,0.89,1.16,1.13,0.72,1.0,
