,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,6.02,2.54,4.51,2.95,2.59,2.25,10.12,14.44,10.01,12.06,13.69,9.43,20.53,13.91,9.82,16.34
d_1,3.17,6.45,2.87,2.15,2.72,2.94,11.08,9.78,11.32,23.03,15.85,13.37,21.53,16.38,16.03,21.0
e_1,2.92,2.53,6.4,3.7,2.48,2.71,9.85,22.33,10.18,12.67,14.88,15.82,20.51,13.94,13.01,19.95
c_1,2.69,2.99,2.45,6.91,4.81,3.12,8.86,11.36,9.68,8.13,10.57,12.41,19.27,14.46,12.53,22.12
b_1,2.56,3.13,2.54,2.52,7.67,5.85,9.75,11.44,9.7,12.07,7.93,14.03,19.59,10.4,13.5,21.85
a_1,3.14,2.87,2.81,2.44,3.25,10.4,11.45,13.31,11.27,12.31,12.96,14.45,19.81,11.1,14.92,18.88
h_1,3.67,2.93,3.21,3.53,2.58,3.02,18.77,13.21,14.39,11.93,14.54,14.89,16.11,14.09,15.83,30.13
d_0,2.96,2.37,2.73,5.3,3.21,3.06,10.68,18.99,10.02,8.84,14.67,15.6,21.0,15.56,16.44,22.25
g_1,2.68,4.32,2.64,3.42,2.81,2.83,11.61,11.28,22.29,13.81,14.66,19.54,21.0,17.99,18.16,20.84
c_0,3.1,2.84,3.41,2.86,2.22,3.35,11.52,16.13,11.91,20.76,26.99,18.4,22.92,18.84,18.89,23.94
b_0,3.0,3.07,2.99,3.8,2.22,2.44,11.65,14.67,12.38,13.69,22.84,15.98,25.83,31.58,21.18,24.91
f_0,2.6,2.85,2.3,3.6,3.42,3.57,12.48,14.16,12.17,15.01,14.68,23.99,21.28,16.28,32.1,24.13
h_0,4.14,3.01,3.29,3.22,2.73,2.5,8.75,13.78,14.19,12.85,14.45,13.72,17.33,16.01,16.64,28.14
a_0,2.79,3.17,2.86,3.34,3.05,2.67,13.4,14.63,11.06,14.87,16.28,17.39,24.74,29.25,18.46,27.49
e_0,3.38,2.85,2.25,3.61,3.3,3.07,13.19,13.91,13.57,14.36,14.87,14.64,28.68,18.64,32.32,23.26
g_0,2.93,3.95,2.53,3.17,2.66,3.43,10.24,13.56,8.69,15.07,16.36,21.51,20.17,16.72,21.44,19.1
