,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,17.09,1.18,0.45,0.53,0.49,0.48,0.78,0.62,0.83,0.7,0.84,0.31,0.97,0.75,0.62,0.71
e_1,0.6,18.04,0.4,0.64,0.48,0.46,0.95,0.98,0.93,2.18,1.02,0.92,1.09,0.96,0.42,0.91
d_1,0.54,0.47,19.32,0.34,0.55,0.6,1.05,2.29,0.9,0.48,1.19,1.36,0.94,1.07,1.25,1.03
c_1,0.55,0.41,0.56,20.12,1.15,0.34,0.66,0.24,0.77,0.78,0.68,1.08,0.79,0.99,0.88,0.91
b_1,0.47,0.43,0.61,0.54,20.32,1.3,0.94,0.7,0.86,0.72,0.4,0.94,0.97,0.61,1.1,1.08
a_1,0.51,0.41,0.69,0.69,0.41,32.8,1.1,1.19,0.93,0.92,1.04,0.78,1.11,0.49,0.78,1.05
h_1,0.94,0.55,0.87,0.54,0.71,0.68,5.69,0.9,1.27,0.99,1.19,0.97,0.71,0.98,1.01,1.74
c_0,0.83,0.75,0.77,0.43,0.45,0.7,1.19,3.6,0.79,0.98,3.22,1.27,1.21,1.4,1.62,0.97
g_1,0.56,0.57,1.51,0.64,0.55,0.61,0.87,1.26,7.3,0.88,0.85,2.04,1.33,1.27,1.2,0.72
d_0,0.82,0.64,0.25,1.94,0.51,0.71,0.89,0.92,0.99,3.0,1.17,1.13,1.07,1.24,0.94,1.05
b_0,0.84,0.75,0.77,0.79,0.34,0.37,0.63,1.18,1.33,1.27,3.99,1.06,1.54,3.59,1.61,1.38
f_0,0.4,0.57,0.75,0.92,0.83,0.69,1.18,1.05,1.09,1.34,1.23,3.89,1.28,1.37,3.39,1.08
h_0,1.17,0.6,0.69,0.71,0.61,0.72,0.55,1.08,1.66,1.32,1.44,0.94,0.73,1.18,1.1,1.94
a_0,0.92,0.74,0.76,0.77,0.66,0.22,1.31,1.06,0.85,1.2,1.14,1.16,1.09,5.11,1.32,1.36
e_0,0.79,0.34,0.7,0.86,0.8,0.52,1.19,1.15,1.28,1.16,1.37,0.78,1.28,1.1,6.01,1.67
g_0,0.58,0.62,1.52,0.79,0.62,0.59,1.22,1.16,0.43,0.92,0.96,2.38,0.99,1.14,1.22,0.79
