,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10.17,1.63,0.61,0.68,0.62,0.53,0.78,0.85,0.92,0.91,0.98,0.71,0.96,0.81,0.6,0.84
e_1,0.7,10.24,1.07,0.56,0.65,0.65,0.93,0.97,2.61,0.85,1.11,0.95,0.99,0.93,0.68,1.07
c_1,0.62,0.53,11.18,0.78,1.65,0.76,0.88,0.96,0.81,0.44,0.59,0.95,0.95,0.82,1.11,1.03
d_1,0.79,0.66,0.5,12.56,0.64,0.71,1.07,0.85,0.56,2.67,1.34,1.0,1.03,1.32,1.04,0.98
b_1,0.71,0.63,0.72,0.61,12.08,1.71,0.94,0.94,0.83,0.86,0.62,0.94,0.86,0.86,1.07,0.9
a_1,0.74,0.7,0.73,0.89,0.65,18.42,1.15,0.85,0.88,1.04,1.03,0.92,0.95,0.73,0.97,0.72
h_1,1.14,0.69,0.81,0.94,0.76,0.61,3.2,1.49,0.91,1.04,1.02,1.0,0.76,1.03,1.21,1.75
g_1,0.7,0.51,0.8,1.92,0.64,0.73,0.93,3.74,0.8,1.06,1.03,2.14,1.15,1.2,1.77,0.98
d_0,0.68,0.62,2.7,0.59,0.91,0.69,0.88,1.0,1.82,0.53,0.92,1.07,1.2,0.83,1.08,1.27
c_0,1.07,0.81,0.58,0.91,0.5,0.88,1.17,1.11,0.94,1.94,3.05,1.07,1.27,1.49,1.18,0.97
b_0,1.07,0.91,0.84,0.98,0.46,0.63,1.14,1.11,0.95,1.11,2.45,1.14,1.41,2.74,1.03,1.24
f_0,0.66,0.54,0.97,0.82,0.71,0.9,1.6,1.15,1.32,1.07,0.99,2.74,1.31,0.94,3.8,1.3
h_0,1.23,0.76,0.84,0.93,0.72,0.7,0.63,1.56,0.84,0.94,1.02,1.31,0.88,1.2,0.95,1.61
a_0,0.84,0.9,0.79,0.92,0.87,0.71,1.12,0.78,0.67,1.1,1.24,0.99,1.16,2.79,0.82,1.09
e_0,1.03,0.54,0.77,0.77,1.0,0.83,1.07,1.33,1.03,0.8,1.11,1.44,1.6,1.02,3.05,1.38
g_0,0.69,0.6,0.8,1.59,0.78,0.75,1.0,1.0,0.73,1.11,1.0,1.91,1.33,1.06,1.34,0.87
