,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.19,0.05,0.03,0.03,0.03,0.03,0.06,0.06,0.03,0.06,0.06,,0.1,0.06,0.08,0.04
e_1,0.03,2.26,0.02,0.03,0.02,0.01,0.05,0.06,0.04,0.12,0.06,0.06,0.1,0.05,0.07,
d_1,0.03,0.03,2.28,0.03,0.04,0.02,0.07,0.1,0.05,,0.05,0.04,0.06,0.05,0.08,0.06
c_1,0.03,0.02,0.04,2.34,0.04,0.02,0.07,,0.04,0.07,0.05,0.05,0.08,0.03,0.09,0.06
b_1,0.03,0.03,0.04,0.03,2.58,0.04,0.07,0.06,0.04,0.06,,0.04,0.08,0.06,0.05,0.03
a_1,0.03,0.03,0.03,0.03,0.02,3.15,0.06,0.07,,0.08,0.04,0.06,0.07,,0.05,
h_1,0.13,0.12,0.12,0.1,0.09,0.1,2.62,0.25,0.26,0.24,0.2,0.18,,0.12,0.4,0.14
c_0,0.11,0.15,0.14,,0.1,0.1,0.33,2.01,0.26,0.32,0.59,0.3,0.47,0.22,0.27,0.25
g_1,0.15,0.13,0.13,0.12,0.12,,0.23,0.24,3.04,0.12,0.24,0.29,0.2,0.15,,
d_0,0.16,0.13,,0.24,0.14,0.07,0.29,0.29,0.21,1.99,0.34,0.31,0.38,0.33,0.38,0.28
b_0,0.19,0.18,0.07,0.11,,0.08,0.16,0.32,0.3,0.36,2.17,0.53,0.37,,0.28,0.22
f_0,,0.09,0.15,0.16,0.13,0.12,0.28,0.38,0.28,0.31,0.31,2.15,0.4,0.33,0.31,0.5
h_0,0.36,0.25,0.24,0.25,0.14,0.12,,0.53,0.49,0.44,0.44,0.29,,0.28,0.66,0.28
a_0,0.16,0.13,0.21,0.15,0.14,,0.22,0.29,0.24,0.33,,0.3,0.53,2.54,0.29,
g_0,0.23,0.19,0.31,0.18,0.2,0.16,0.46,0.38,,0.37,0.4,0.78,0.56,0.33,,0.3
e_0,0.13,,0.17,0.14,0.12,,0.31,0.48,,0.4,0.24,0.38,0.41,,0.41,2.68
