,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.44,33.44,32.52,33.46,32.52,29.84,6.88,9.3,6.11,4.78,,7.81,4.13,6.78,10.43,4.6
e_1,23.25,0.44,35.14,34.35,32.51,32.54,8.56,10.01,6.93,6.64,7.0,7.0,5.25,,5.61,5.12
c_1,39.29,29.66,0.43,34.38,29.09,33.2,8.81,12.07,3.96,,6.08,6.82,5.11,8.54,6.77,5.64
d_1,37.74,37.71,44.71,0.43,40.93,,9.83,6.43,,7.2,5.43,6.98,4.17,7.97,5.21,3.05
b_1,34.22,42.44,19.46,33.56,0.4,42.86,11.37,10.16,7.68,12.63,8.65,,4.72,6.37,10.92,4.99
a_1,39.65,36.69,58.72,,22.82,0.32,11.44,13.44,9.27,,10.44,10.48,7.37,,,
h_1,14.03,19.37,16.89,17.45,15.18,17.2,0.37,5.0,2.8,4.42,4.83,3.9,,3.77,4.13,2.67
g_1,17.58,35.14,17.71,22.15,22.94,24.0,3.73,0.34,5.32,4.01,6.71,3.85,1.68,4.06,4.89,
d_0,11.2,10.05,17.57,,13.28,15.48,4.03,4.02,0.54,3.23,2.7,3.14,2.2,2.69,3.51,2.4
c_0,16.37,17.35,,7.48,17.76,,4.56,5.44,3.35,0.48,3.02,3.39,2.26,2.31,4.35,2.32
f_0,,14.81,18.41,20.87,17.45,14.0,4.06,2.32,3.51,2.98,0.46,3.97,2.45,3.82,,1.61
b_0,18.2,17.01,31.27,18.11,,16.2,6.09,3.58,3.4,1.67,4.23,0.45,3.18,,3.74,2.33
h_0,13.94,13.17,9.43,9.61,14.56,14.97,,5.79,2.34,2.3,2.11,1.64,,4.82,2.0,1.82
e_0,28.27,,17.86,27.94,22.78,,4.97,6.6,5.64,4.15,1.9,,2.6,0.39,3.7,2.2
a_0,27.98,23.54,26.52,25.92,25.76,,7.38,7.72,2.62,6.0,,2.01,1.88,3.04,0.38,3.11
g_0,19.44,15.83,11.26,16.51,21.54,,3.29,,3.2,2.66,2.67,3.72,1.39,2.11,1.98,
