,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,118.25,67.27,55.6,69.54,115.7,243.08,7566.28,12088.46,24516.81,25498.32,17496.62,41105.79,72486.4,69000.53,89315.97,172320.48
f_1,52.24,120.67,93.01,77.86,101.92,268.05,7526.01,11206.57,12442.68,20712.44,23703.21,19538.12,61306.92,65957.19,68286.02,152525.71
e_1,54.59,55.17,121.92,101.6,116.74,221.57,8287.6,11648.12,14054.62,20476.43,40216.42,39184.58,75359.06,68432.04,57630.99,153055.78
c_1,55.12,50.18,46.56,157.1,180.22,197.36,6797.31,11964.6,7793.82,14697.4,18895.76,36959.97,61973.28,60439.47,67997.78,142793.88
b_1,46.36,53.5,46.15,51.08,207.52,374.19,6533.99,9118.29,12178.19,11907.88,15633.36,28279.46,58173.34,53221.37,62818.97,134437.12
a_1,38.2,36.92,41.81,57.34,45.74,400.89,5816.33,8115.44,9476.34,17192.46,17690.43,20596.39,59365.95,40666.53,65822.31,103336.77
h_1,17.39,20.09,14.24,21.92,26.54,58.98,3328.56,4092.59,3742.62,5539.23,5038.35,9310.62,13798.24,18217.89,21351.26,57804.21
g_1,18.85,12.92,12.46,17.0,24.03,53.22,1625.38,4856.05,3583.11,4480.95,4544.62,12418.31,17220.66,15566.35,19350.67,28842.58
c_0,12.04,15.53,13.53,16.59,21.2,58.96,1955.52,2660.79,4721.94,8685.83,5885.8,9792.24,18414.18,19749.64,19677.87,39226.4
b_0,11.13,13.3,12.04,20.4,18.32,38.2,1767.01,2821.49,2488.05,5985.55,5197.19,7938.06,16707.62,20784.81,17763.03,32270.15
d_0,7.91,10.23,9.99,29.37,24.97,39.87,1789.0,2485.81,2307.45,3807.02,6465.42,7887.6,14316.11,13593.82,16884.53,32278.25
f_0,9.92,9.66,8.32,16.13,20.49,40.81,1370.37,2025.06,2460.18,3727.61,4036.43,9311.46,14088.23,10197.02,26756.55,26485.45
h_0,9.24,10.07,7.59,13.0,15.38,27.45,1092.18,2331.09,1933.3,3090.48,3331.31,5796.74,8652.46,9358.49,13496.1,29502.56
a_0,9.07,8.64,7.18,12.44,16.31,22.94,1224.18,1876.96,1913.43,2982.22,3223.31,6072.97,11424.57,15356.28,10927.08,28113.54
e_0,7.84,9.0,5.16,12.55,16.02,29.23,1006.04,1756.13,1953.1,3192.55,2677.78,4108.27,10783.77,11042.63,17803.47,24029.15
g_0,8.27,6.12,5.76,9.66,13.79,25.55,832.66,1225.08,1650.6,2390.57,2190.58,5872.83,7108.13,6408.71,9513.77,15263.14
