,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.32,0.39,0.5,0.57,0.47,0.37,0.82,0.7,1.99,1.04,1.07,1.0,1.19,0.85,0.38,1.07
d_1,0.49,2.37,0.54,0.38,0.43,0.34,0.99,0.87,0.45,1.94,1.17,1.03,1.02,0.94,0.82,1.12
f_1,0.82,0.43,2.34,0.51,0.43,0.33,0.68,0.72,0.85,0.99,0.96,0.48,1.25,0.93,0.72,1.1
c_1,0.49,0.48,0.56,2.44,0.82,0.25,0.77,0.83,0.97,0.33,0.65,0.67,1.2,0.91,0.77,0.87
b_1,0.46,0.51,0.48,0.45,2.52,0.78,0.96,0.85,0.97,0.91,0.31,0.74,1.08,0.56,0.68,0.92
a_1,0.5,0.6,0.43,0.47,0.4,3.01,0.84,0.98,0.95,1.03,1.15,1.29,1.36,0.32,0.79,1.31
h_1,0.57,0.54,0.88,0.56,0.43,0.52,3.05,1.32,1.22,1.19,1.24,1.07,0.92,0.97,0.91,1.58
g_1,0.45,0.92,0.59,0.57,0.52,0.35,1.13,3.15,0.92,1.56,1.17,1.71,1.38,0.82,1.07,0.75
d_0,0.53,0.36,0.63,1.2,0.5,0.37,1.05,1.05,2.48,0.99,1.24,1.22,1.6,0.94,1.11,1.16
c_0,0.61,0.69,0.61,0.35,0.46,0.5,1.18,1.19,1.07,2.47,2.47,1.27,1.59,1.05,1.18,1.2
b_0,0.52,0.69,0.66,0.65,0.3,0.44,1.11,1.13,1.13,1.2,2.73,1.38,1.45,2.09,1.04,1.21
f_0,0.52,0.74,0.35,0.67,0.46,0.53,1.25,1.1,1.3,1.12,1.2,2.74,1.88,1.01,2.39,1.36
h_0,0.47,0.72,0.89,0.65,0.58,0.35,0.67,1.33,1.24,1.08,1.21,1.04,0.93,1.06,1.1,1.81
a_0,0.55,0.57,0.63,0.73,0.58,0.26,1.34,1.29,1.17,1.08,1.62,1.54,1.72,2.85,1.22,1.4
e_0,0.26,0.82,0.73,0.69,0.47,0.31,1.37,0.94,1.34,1.35,1.38,1.28,2.1,1.27,3.09,1.46
g_0,0.51,0.9,0.62,0.65,0.49,0.46,1.03,0.5,1.1,1.24,1.36,2.01,1.58,1.23,0.95,0.81
