,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.68,0.65,0.76,0.83,0.73,0.17,0.26,0.15,0.18,0.15,0.33,0.08,0.17,0.15,0.13
d_1,0.75,0.17,0.91,0.81,0.76,0.75,0.23,0.14,0.13,0.4,0.13,0.14,0.1,0.15,0.15,0.07
e_1,0.4,0.85,0.16,0.83,0.87,1.12,0.22,0.28,0.17,0.17,0.16,0.21,0.12,0.16,0.34,0.13
c_1,0.77,0.99,0.65,0.15,0.77,0.72,0.18,0.23,0.3,0.09,0.15,0.12,0.14,0.12,0.17,0.11
b_1,0.84,0.82,0.83,0.4,0.14,0.71,0.35,0.23,0.26,0.22,0.73,0.19,0.13,0.23,0.19,0.12
a_1,1.01,0.76,0.88,1.03,0.36,0.09,0.25,0.23,0.18,0.15,0.19,0.16,0.12,0.47,0.14,0.12
h_1,0.69,0.52,0.59,0.55,0.76,0.5,0.06,0.2,0.14,0.13,0.13,0.14,0.22,0.16,0.11,0.1
g_1,0.74,0.57,0.61,0.72,0.73,0.54,0.15,0.05,0.13,0.14,0.12,0.12,0.06,0.13,0.11,0.13
c_0,0.73,0.32,0.62,1.56,0.8,0.57,0.19,0.18,0.06,0.17,0.11,0.13,0.08,0.12,0.12,0.09
d_0,0.55,1.27,0.33,0.72,0.64,0.73,0.19,0.19,0.14,0.06,0.15,0.11,0.09,0.13,0.11,0.11
b_0,0.69,0.47,0.61,0.86,1.53,0.54,0.14,0.16,0.07,0.1,0.06,0.11,0.1,0.15,0.1,0.07
f_0,1.41,0.51,0.57,0.62,0.72,0.53,0.19,0.12,0.12,0.13,0.13,0.06,0.1,0.16,0.13,0.05
h_0,0.62,0.64,0.55,0.67,0.6,0.47,0.28,0.21,0.11,0.13,0.11,0.11,0.14,0.12,0.11,0.09
a_0,0.71,0.5,0.61,0.67,0.72,1.18,0.18,0.17,0.12,0.12,0.07,0.11,0.1,0.04,0.1,0.12
e_0,1.06,0.5,0.98,0.69,0.55,0.55,0.18,0.17,0.12,0.14,0.11,0.05,0.09,0.12,0.04,0.07
g_0,0.64,0.7,0.57,0.62,0.51,0.56,0.11,0.25,0.12,0.15,0.12,0.12,0.07,0.13,0.13,0.15
