,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,6.02,9.11,9.87,8.19,9.71,3.05,3.17,3.18,2.3,2.11,2.93,2.79,2.44,,2.18
f_1,11.28,1.07,8.85,11.19,10.06,8.7,2.13,2.75,3.63,2.46,2.59,,1.51,2.42,2.14,2.31
d_1,12.26,9.21,1.07,7.71,7.83,7.49,4.49,,3.08,3.64,3.55,2.14,2.32,2.2,2.64,1.5
c_1,9.57,7.92,13.8,1.07,11.33,9.16,4.15,1.95,3.77,,2.82,2.67,2.33,2.75,2.43,1.61
b_1,13.35,10.75,11.5,7.52,1.07,10.0,4.2,3.97,3.33,2.88,,3.49,2.34,2.85,2.68,2.32
a_1,12.95,12.04,15.83,13.81,7.93,1.07,7.24,4.71,5.12,4.85,6.14,4.47,3.92,,,4.13
h_1,13.48,18.42,13.55,12.55,14.11,10.98,1.41,4.18,4.72,3.9,4.58,3.92,,3.58,2.33,2.64
d_0,8.73,13.39,,17.11,12.52,10.64,5.16,1.74,4.76,4.77,4.43,4.47,3.15,2.95,3.84,3.27
g_1,22.56,17.79,14.16,14.64,18.17,14.93,5.9,5.34,1.41,4.65,4.92,5.12,2.85,4.28,3.71,
c_0,17.38,18.35,8.61,,17.36,14.57,6.99,4.38,6.46,1.74,4.94,3.9,3.02,3.45,4.57,3.09
b_0,20.44,17.26,14.97,17.31,,11.6,5.01,4.76,6.82,3.0,1.74,4.05,3.7,6.58,4.96,3.67
f_0,18.32,,19.51,14.82,15.4,19.22,6.61,5.19,3.74,5.08,5.18,1.76,3.25,5.37,,2.4
h_0,15.68,20.22,15.28,12.56,15.95,12.64,,4.31,5.26,5.16,4.0,5.22,,3.06,4.0,4.22
a_0,22.33,25.36,30.68,21.31,24.26,,6.47,8.32,8.13,7.21,3.49,5.5,6.88,1.76,,5.54
e_0,,23.09,19.73,28.17,23.66,,10.16,6.41,10.02,5.37,6.35,,4.66,,1.77,6.2
g_0,15.07,23.99,20.88,27.35,18.13,15.37,6.13,4.78,,6.12,4.62,5.63,3.29,5.35,4.55,
