,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.42,0.85,0.86,0.78,0.76,0.87,0.4,0.32,0.36,0.48,0.35,0.35,0.38,0.3,0.33,0.22
f_1,0.72,0.41,0.92,0.78,0.8,0.78,0.34,0.48,0.39,0.37,0.35,0.56,0.36,0.24,0.37,0.33
e_1,0.83,0.55,0.39,0.99,0.87,0.87,0.47,0.48,0.34,0.44,0.42,0.41,0.4,0.33,0.52,0.35
c_1,1.01,0.92,0.63,0.38,0.92,0.72,0.48,0.47,0.45,0.21,0.28,0.36,0.29,0.3,0.34,0.31
b_1,0.92,0.82,0.81,0.53,0.36,0.82,0.52,0.52,0.49,0.37,0.53,0.38,0.36,0.36,0.31,0.36
a_1,0.79,1.02,0.87,0.75,0.49,0.3,0.6,0.47,0.42,0.38,0.5,0.38,0.53,0.36,0.41,0.4
h_1,0.7,0.79,0.72,0.68,0.74,0.56,0.25,0.4,0.33,0.34,0.34,0.3,0.34,0.37,0.32,0.29
g_1,0.84,0.75,0.75,0.66,0.7,0.65,0.31,0.22,0.31,0.31,0.36,0.33,0.32,0.22,0.35,0.32
c_0,0.47,0.77,0.74,1.33,0.73,0.75,0.39,0.45,0.25,0.5,0.38,0.29,0.35,0.28,0.32,0.28
d_0,0.97,0.69,0.46,0.87,0.71,0.68,0.4,0.44,0.31,0.25,0.34,0.35,0.39,0.31,0.31,0.28
b_0,0.58,0.8,0.66,1.11,1.08,0.7,0.33,0.33,0.2,0.36,0.23,0.3,0.36,0.28,0.3,0.27
f_0,0.67,0.9,0.7,0.76,0.8,0.64,0.4,0.27,0.34,0.35,0.31,0.22,0.31,0.28,0.4,0.21
a_0,0.63,0.66,0.72,0.93,0.83,1.16,0.41,0.35,0.29,0.34,0.21,0.32,0.21,0.26,0.34,0.29
h_0,0.65,0.79,0.73,0.73,0.71,0.67,0.43,0.38,0.35,0.32,0.32,0.33,0.3,0.34,0.26,0.28
e_0,0.72,1.0,0.9,0.79,0.74,0.55,0.37,0.27,0.32,0.36,0.35,0.17,0.32,0.36,0.19,0.22
g_0,0.71,0.72,0.7,0.7,0.71,0.65,0.31,0.47,0.33,0.38,0.32,0.31,0.34,0.26,0.38,0.33
